model,domain,horizon_s,target,MAE,RMSE,WAPE,R2,seed
graph_gru,see_v2x,30,flow_proxy,16076.42896579987,26755.49586025405,0.5051118418132009,0.676530303403978,42
ca_dtnet,clean,5,speed_mean_kmh,3.793175679992623,7.867465697624077,0.48047002137111694,0.46501458456953504,42
ca_dtnet,clean,5,vehicle_count,0.9129578661679761,1.6238207963217217,0.20252059909156744,0.9306762479305097,42
ca_dtnet,clean,5,flow_proxy,13128.371226157735,22536.086205299125,0.4092603553614325,0.7682846713285241,42
ca_dtnet,clean,10,speed_mean_kmh,4.224432503637051,8.201587143117068,0.5271116215018087,0.42249265349746956,42
ca_dtnet,clean,10,vehicle_count,1.192274415342399,2.0938124813944565,0.2626995915269135,0.8827809250640639,42
ca_dtnet,clean,10,flow_proxy,16272.61440180511,28388.31422907628,0.49706079348442167,0.6441684053201693,42
ca_dtnet,clean,30,speed_mean_kmh,4.246182561707115,8.299332155201789,0.5398022255819117,0.4006384541014014,42
ca_dtnet,clean,30,vehicle_count,1.5373615683235606,2.7761383256733994,0.34475879971731954,0.7834866884778483,42
ca_dtnet,clean,30,flow_proxy,13898.400967330399,24309.936472486217,0.4366794967838396,0.7329606632366243,42
ca_dtnet,cicv5g,5,speed_mean_kmh,3.7887763924042273,7.8093563434261215,0.4799127769986079,0.4728882381627323,42
ca_dtnet,cicv5g,5,vehicle_count,0.9207799814470745,1.6532209905783342,0.20425577168954892,0.928143231298884,42
ca_dtnet,cicv5g,5,flow_proxy,13046.392608098475,22366.296022707753,0.4067047757102323,0.7717630730068934,42
ca_dtnet,cicv5g,10,speed_mean_kmh,4.184331060296501,8.076112585593384,0.5221078874367949,0.4400278408986741,42
ca_dtnet,cicv5g,10,vehicle_count,1.206790369790874,2.128830964801878,0.2658979620154244,0.8788272182026778,42
ca_dtnet,cicv5g,10,flow_proxy,16114.70441363913,28061.27497511247,0.49223729911045117,0.6523196882676434,42
ca_dtnet,cicv5g,30,speed_mean_kmh,4.22005909513223,8.159006339252217,0.5364812413349772,0.4207352188938448,42
