model,domain,horizon_s,target,sample_index,absolute_error,seed
dcrnn,clean,5,vehicle_count,9,1.0276597785986676,42
dcrnn,clean,5,vehicle_count,10,1.053732540478521,42
dcrnn,clean,5,vehicle_count,11,1.1411244761416037,42
dcrnn,clean,5,vehicle_count,12,1.129156459999652,42
dcrnn,clean,5,vehicle_count,13,1.120328631019001,42
dcrnn,clean,5,vehicle_count,14,1.0693518314583808,42
dcrnn,clean,5,vehicle_count,15,0.9517728637532253,42
dcrnn,clean,5,vehicle_count,16,0.833004150797329,42
dcrnn,clean,5,vehicle_count,17,0.9127319859801015,42
dcrnn,clean,5,vehicle_count,18,1.012100189231375,42
dcrnn,clean,5,vehicle_count,19,0.9757161853388767,42
dcrnn,clean,5,vehicle_count,20,1.016587236302016,42
dcrnn,clean,5,vehicle_count,21,1.2102047217945338,42
dcrnn,clean,5,vehicle_count,22,1.263402179987745,42
dcrnn,clean,5,vehicle_count,23,0.9884597335686854,42
dcrnn,clean,5,vehicle_count,24,0.7878839931622451,42
dcrnn,clean,5,vehicle_count,25,0.9619864701303301,42
dcrnn,clean,5,vehicle_count,26,0.904856942473017,42
dcrnn,clean,5,vehicle_count,27,0.8987166947966467,42
dcrnn,clean,5,vehicle_count,28,0.8077639872825313,42
dcrnn,clean,5,vehicle_count,29,0.8585564509460025,42
dcrnn,clean,5,vehicle_count,30,1.1589029290269273,42
dcrnn,clean,5,vehicle_count,31,1.0024091894452687,42
dcrnn,clean,5,vehicle_count,32,0.9606470444139659,42
dcrnn,clean,5,vehicle_count,33,1.1703064953343834,42
dcrnn,clean,5,vehicle_count,34,1.1600036353431111,42
dcrnn,clean,5,vehicle_count,35,1.1033596295998551,42
dcrnn,clean,5,vehicle_count,36,1.2228379442325572,42
dcrnn,clean,5,vehicle_count,37,1.1380935479244252,42
dcrnn,clean,5,vehicle_count,38,1.2140905281941354,42
dcrnn,clean,5,vehicle_count,39,1.1586065628988944,42
dcrnn,clean,5,vehicle_count,40,1.1468199282449205,42
dcrnn,clean,5,vehicle_count,41,1.3761978225948497,42
dcrnn,clean,5,vehicle_count,42,1.3864142504577395,42
dcrnn,clean,5,vehicle_count,43,1.3612194342306145,42
dcrnn,clean,5,vehicle_count,44,1.1925001330316147,42
dcrnn,clean,5,vehicle_count,45,1.2108693032909585,42
dcrnn,clean,5,vehicle_count,46,1.30852785957706,42
dcrnn,clean,5,vehicle_count,47,1.30408426141827,42
dcrnn,clean,5,vehicle_count,48,1.2797697193616664,42
dcrnn,clean,5,vehicle_count,49,1.1462450820837677,42
dcrnn,clean,5,vehicle_count,50,1.1658283458086804,42
dcrnn,clean,5,vehicle_count,51,1.276501881710527,42
dcrnn,clean,5,vehicle_count,52,1.2192906130512577,42
dcrnn,clean,5,vehicle_count,53,1.0991847120977378,42
dcrnn,clean,5,vehicle_count,54,1.0255469283294283,42
dcrnn,clean,5,vehicle_count,55,1.0232999690140114,42
dcrnn,clean,5,vehicle_count,56,1.2242830770598945,42
dcrnn,clean,5,vehicle_count,57,1.28105312424645,42
dcrnn,clean,5,vehicle_count,58,1.3292078696630423,42
dcrnn,clean,5,vehicle_count,59,1.2533227126279212,42
dcrnn,clean,5,vehicle_count,60,1.305254474326313,42
dcrnn,clean,5,vehicle_count,61,1.2282852576051875,42
dcrnn,clean,5,vehicle_count,62,1.215473014124957,42
dcrnn,clean,5,vehicle_count,63,1.1210941654885607,42
dcrnn,clean,5,vehicle_count,64,1.0608370943349348,42
dcrnn,clean,5,vehicle_count,65,0.9573628215300993,42
dcrnn,clean,5,vehicle_count,66,1.0857933050932662,42
dcrnn,clean,5,vehicle_count,67,1.1390857689011125,42
dcrnn,clean,5,vehicle_count,68,1.343814632673506,42
dcrnn,clean,5,vehicle_count,69,1.2740585528427566,42
dcrnn,clean,5,vehicle_count,70,1.302400618597096,42
dcrnn,clean,5,vehicle_count,71,1.4050204663084256,42
dcrnn,clean,5,vehicle_count,72,1.2524897363385905,42
dcrnn,clean,5,vehicle_count,73,1.2061111925417034,42
dcrnn,clean,5,flow_proxy,0,10015.402421729399,42
dcrnn,clean,5,flow_proxy,1,8820.975010065627,42
dcrnn,clean,5,flow_proxy,2,8479.810453599255,42
dcrnn,clean,5,flow_proxy,3,9257.171530327349,42
dcrnn,clean,5,flow_proxy,4,10947.983618780212,42
dcrnn,clean,5,flow_proxy,5,9572.732755741139,42
dcrnn,clean,5,flow_proxy,6,10830.42114072983,42
dcrnn,clean,5,flow_proxy,7,9578.005908857367,42
dcrnn,clean,5,flow_proxy,8,9339.88249498885,42
dcrnn,clean,5,flow_proxy,9,9336.408088952468,42
dcrnn,clean,5,flow_proxy,10,10846.323775344008,42
dcrnn,clean,5,flow_proxy,11,11017.811606762225,42
dcrnn,clean,5,flow_proxy,12,9162.185562282608,42
dcrnn,clean,5,flow_proxy,13,10823.866606937456,42
dcrnn,clean,5,flow_proxy,14,11237.301314446326,42
dcrnn,clean,5,flow_proxy,15,10231.334839093228,42
dcrnn,clean,5,flow_proxy,16,9538.682649936809,42
dcrnn,clean,5,flow_proxy,17,10354.581382506225,42
dcrnn,clean,5,flow_proxy,18,11960.998958405415,42
dcrnn,clean,5,flow_proxy,19,14323.200898646643,42
dcrnn,clean,5,flow_proxy,20,15526.584209402474,42
dcrnn,clean,5,flow_proxy,21,15470.447039530867,42
dcrnn,clean,5,flow_proxy,22,17010.2455209114,42
dcrnn,clean,5,flow_proxy,23,14184.772320108395,42
dcrnn,clean,5,flow_proxy,24,14348.027221267574,42
dcrnn,clean,5,flow_proxy,25,16947.84102480111,42
dcrnn,clean,5,flow_proxy,26,17109.19220753357,42
dcrnn,clean,5,flow_proxy,27,14112.105440814503,42
dcrnn,clean,5,flow_proxy,28,12570.002608601495,42
dcrnn,clean,5,flow_proxy,29,13627.724052361322,42
dcrnn,clean,5,flow_proxy,30,11814.966515629185,42
dcrnn,clean,5,flow_proxy,31,13381.875828633149,42
dcrnn,clean,5,flow_proxy,32,13029.001387155035,42
dcrnn,clean,5,flow_proxy,33,14354.079930263482,42
dcrnn,clean,5,flow_proxy,34,15744.385202730622,42
dcrnn,clean,5,flow_proxy,35,13493.049072916941,42
dcrnn,clean,5,flow_proxy,36,13384.995423352937,42
dcrnn,clean,5,flow_proxy,37,13383.873523613762,42
dcrnn,clean,5,flow_proxy,38,13064.298847448183,42
dcrnn,clean,5,flow_proxy,39,12779.727605612514,42
dcrnn,clean,5,flow_proxy,40,14196.883003309316,42
dcrnn,clean,5,flow_proxy,41,19409.662351339426,42
dcrnn,clean,5,flow_proxy,42,17800.31541656634,42
dcrnn,clean,5,flow_proxy,43,17762.167342351924,42
dcrnn,clean,5,flow_proxy,44,17487.174682423956,42
dcrnn,clean,5,flow_proxy,45,16451.79386222891,42
dcrnn,clean,5,flow_proxy,46,16678.258364868645,42
dcrnn,clean,5,flow_proxy,47,17200.80373241754,42
dcrnn,clean,5,flow_proxy,48,17911.974248654908,42
dcrnn,clean,5,flow_proxy,49,14757.465859918495,42
dcrnn,clean,5,flow_proxy,50,15965.714191994914,42
dcrnn,clean,5,flow_proxy,51,16150.876749116722,42
dcrnn,clean,5,flow_proxy,52,15241.213883939732,42
dcrnn,clean,5,flow_proxy,53,14111.222238043501,42
dcrnn,clean,5,flow_proxy,54,12300.621244715363,42
dcrnn,clean,5,flow_proxy,55,12705.147157729294,42
dcrnn,clean,5,flow_proxy,56,13224.026274481352,42
dcrnn,clean,5,flow_proxy,57,13990.214678236243,42
dcrnn,clean,5,flow_proxy,58,14407.791288574632,42
dcrnn,clean,5,flow_proxy,59,13478.139444418626,42
dcrnn,clean,5,flow_proxy,60,14150.72554229308,42
dcrnn,clean,5,flow_proxy,61,11968.35895323238,42
dcrnn,clean,5,flow_proxy,62,13695.296977738402,42
dcrnn,clean,5,flow_proxy,63,11006.88246329873,42
dcrnn,clean,5,flow_proxy,64,11045.692485544116,42
dcrnn,clean,5,flow_proxy,65,11352.333926743146,42
dcrnn,clean,5,flow_proxy,66,12230.822437288598,42
dcrnn,clean,5,flow_proxy,67,12983.997945827696,42
dcrnn,clean,5,flow_proxy,68,14487.249893442397,42
dcrnn,clean,5,flow_proxy,69,16350.543728520412,42
dcrnn,clean,5,flow_proxy,70,17022.591497718895,42
dcrnn,clean,5,flow_proxy,71,17737.641853776284,42
dcrnn,clean,5,flow_proxy,72,16271.145829466197,42
dcrnn,clean,5,flow_proxy,73,15573.295957425267,42
dcrnn,clean,10,speed_mean_kmh,0,2.877132895709597,42
dcrnn,clean,10,speed_mean_kmh,1,2.9119803328866554,42
dcrnn,clean,10,speed_mean_kmh,2,3.547690471607385,42
dcrnn,clean,10,speed_mean_kmh,3,3.127471825109781,42
dcrnn,clean,10,speed_mean_kmh,4,3.279931177559515,42
dcrnn,clean,10,speed_mean_kmh,5,3.476238878083095,42
dcrnn,clean,10,speed_mean_kmh,6,3.3794698849802467,42
dcrnn,clean,10,speed_mean_kmh,7,2.9624579490964353,42
dcrnn,clean,10,speed_mean_kmh,8,2.645966108204374,42
dcrnn,clean,10,speed_mean_kmh,9,3.137655318602556,42
dcrnn,clean,10,speed_mean_kmh,10,2.928839725101248,42
dcrnn,clean,10,speed_mean_kmh,11,3.068310065901871,42
dcrnn,clean,10,speed_mean_kmh,12,2.919328335083112,42
dcrnn,clean,10,speed_mean_kmh,13,3.073698468835164,42
dcrnn,clean,10,speed_mean_kmh,14,3.208027876530357,42
dcrnn,clean,10,speed_mean_kmh,15,4.415945894455031,42
dcrnn,clean,10,speed_mean_kmh,16,4.512446159227573,42
dcrnn,clean,10,speed_mean_kmh,17,4.819398647553073,42
dcrnn,clean,10,speed_mean_kmh,18,3.903315827675306,42
dcrnn,clean,10,speed_mean_kmh,19,3.998543265377189,42
dcrnn,clean,10,speed_mean_kmh,20,6.358828030781537,42
dcrnn,clean,10,speed_mean_kmh,21,4.5226739423325775,42
dcrnn,clean,10,speed_mean_kmh,22,3.804608740277123,42
dcrnn,clean,10,speed_mean_kmh,23,3.477985092971462,42
dcrnn,clean,10,speed_mean_kmh,24,4.115533343583686,42
dcrnn,clean,10,speed_mean_kmh,25,3.707356264941196,42
dcrnn,clean,10,speed_mean_kmh,26,3.5909108374739738,42
dcrnn,clean,10,speed_mean_kmh,27,3.4381081539277427,42
dcrnn,clean,10,speed_mean_kmh,28,3.0654542329219505,42
dcrnn,clean,10,speed_mean_kmh,29,3.2247905561201806,42
dcrnn,clean,10,speed_mean_kmh,30,5.054698968543122,42
dcrnn,clean,10,speed_mean_kmh,31,4.7457094570695295,42
dcrnn,clean,10,speed_mean_kmh,32,4.687327832754886,42
dcrnn,clean,10,speed_mean_kmh,33,4.970686143573533,42
dcrnn,clean,10,speed_mean_kmh,34,5.358663282674603,42
dcrnn,clean,10,speed_mean_kmh,35,5.827605402868256,42
dcrnn,clean,10,speed_mean_kmh,36,7.64403157317671,42
dcrnn,clean,10,speed_mean_kmh,37,6.697364517376734,42
dcrnn,clean,10,speed_mean_kmh,38,4.783628260544628,42
dcrnn,clean,10,speed_mean_kmh,39,5.127740887653382,42
