model,domain,horizon_s,target,seed_count,MAE_mean,MAE_std,RMSE_mean,RMSE_std,WAPE_mean,WAPE_std,R2_mean,R2_std,MAE_mean_std,RMSE_mean_std,WAPE_mean_std,R2_mean_std
ca_dtnet,clean,10,vehicle_count,3,1.2576515392403513,0.06138084239261183,2.2717511370806704,0.16022762428885964,0.27710444960504677,0.013524338035456622,0.8615534543364545,0.019200318082567076,1.257652 ± 0.061381,2.271751 ± 0.160228,0.277104 ± 0.013524,0.861553 ± 0.019200
ca_dtnet,clean,30,flow_proxy,3,13893.677688933201,308.1651789694542,24704.499384633615,630.9285849365737,0.4365310941842524,0.009682366740965554,0.7241020265935346,0.014188950854573038,13893.677689 ± 308.165179,24704.499385 ± 630.928585,0.436531 ± 0.009682,0.724102 ± 0.014189
ca_dtnet,clean,30,speed_mean_kmh,3,4.208021227634714,0.047005316806521674,8.226577772546074,0.06444291426568183,0.5349509096612947,0.005975620279534542,0.4110766616543433,0.00924309880372163,4.208021 ± 0.047005,8.226578 ± 0.064443,0.534951 ± 0.005976,0.411077 ± 0.009243
ca_dtnet,clean,30,vehicle_count,3,1.6093209455408697,0.06802431230747019,3.0194447101127744,0.21085968849955752,0.36089594600028424,0.015254693980865614,0.743039574069206,0.03505636587994866,1.609321 ± 0.068024,3.019445 ± 0.210860,0.360896 ± 0.015255,0.743040 ± 0.035056
ca_dtnet,see_v2x,5,flow_proxy,3,13035.138608826883,225.74715238557562,22918.92839243976,499.285738020834,0.4063539465280141,0.007037381729659704,0.7602692341002285,0.01039398421114638,13035.138609 ± 225.747152,22918.928392 ± 499.285738,0.406354 ± 0.007037,0.760269 ± 0.010394
ca_dtnet,see_v2x,5,speed_mean_kmh,3,3.7223187575356924,0.06293805116429209,7.760465197483909,0.03661701739752643,0.4714947906095301,0.007972171430779237,0.4794599090814941,0.004918809653838215,3.722319 ± 0.062938,7.760465 ± 0.036617,0.471495 ± 0.007972,0.479460 ± 0.004919
ca_dtnet,see_v2x,5,vehicle_count,3,0.9529774935986786,0.029318960395122926,1.7380494895734653,0.07987727095507914,0.2113981160318684,0.006503797868443741,0.9204681224222316,0.007226612270376867,0.952977 ± 0.029319,1.738049 ± 0.079877,0.211398 ± 0.006504,0.920468 ± 0.007227
ca_dtnet,see_v2x,10,flow_proxy,3,15976.204139488547,379.5462444455731,28274.20631685658,305.17431511761293,0.48800669089549453,0.01159356159801964,0.6469957997562951,0.007643367395062269,15976.204139 ± 379.546244,28274.206317 ± 305.174315,0.488007 ± 0.011594,0.646996 ± 0.007643
ca_dtnet,see_v2x,10,speed_mean_kmh,3,4.167791208033184,0.03148464895030932,8.099454806856793,0.031426410994826924,0.5200440958296592,0.003928557113014428,0.43678055838561325,0.004371762767845485,4.167791 ± 0.031485,8.099455 ± 0.031426,0.520044 ± 0.003929,0.436781 ± 0.004372
ca_dtnet,see_v2x,10,vehicle_count,3,1.255388142726708,0.03970327210708485,2.2612104659678356,0.1190830905097288,0.2766057444982809,0.008748014073436094,0.863035837727591,0.014215062279766488,1.255388 ± 0.039703,2.261210 ± 0.119083,0.276606 ± 0.008748,0.863036 ± 0.014215
ca_dtnet,see_v2x,30,flow_proxy,3,13741.334027267485,332.1487206315278,24252.02866410614,781.4963952149545,0.4317445468921741,0.01043591536348024,0.7340473773587192,0.0172663744441969,13741.334027 ± 332.148721,24252.028664 ± 781.496395,0.431745 ± 0.010436,0.734047 ± 0.017266
ca_dtnet,see_v2x,30,speed_mean_kmh,3,4.203919611873985,0.021082205095474774,8.17449026104166,0.09144451533772631,0.5344294857036697,0.002680106440392024,0.41848599990730034,0.013022789422302108,4.203920 ± 0.021082,8.174490 ± 0.091445,0.534429 ± 0.002680,0.418486 ± 0.013023
ca_dtnet,see_v2x,30,vehicle_count,3,1.6000305833637551,0.07495416145496135,2.9821849479887335,0.18452304472010186,0.35881254923851014,0.016808737299976517,0.7495167973303309,0.030599300709545252,1.600031 ± 0.074954,2.982185 ± 0.184523,0.358813 ± 0.016809,0.749517 ± 0.030599
dcrnn,cicv5g,5,flow_proxy,3,13992.470019165406,481.6137410660733,22814.271098882473,607.9637216934858,0.43619754147550954,0.015013698761269472,0.7624163626412813,0.012586300336120996,13992.470019 ± 481.613741,22814.271099 ± 607.963722,0.436198 ± 0.015014,0.762416 ± 0.012586
dcrnn,cicv5g,5,speed_mean_kmh,3,3.9160068781697084,0.03821963069461845,7.425587514359775,0.03502230093177615,0.49602867548895074,0.004841164323998662,0.5234150665270981,0.004489388323568149,3.916007 ± 0.038220,7.425588 ± 0.035022,0.496029 ± 0.004841,0.523415 ± 0.004489
dcrnn,cicv5g,5,vehicle_count,3,1.1182053462188566,0.023266051042784994,1.8907401473231629,0.047072036275180536,0.24805045776556123,0.005161086584923345,0.9059737811414262,0.004646982697820129,1.118205 ± 0.023266,1.890740 ± 0.047072,0.248050 ± 0.005161,0.905974 ± 0.004647
dcrnn,cicv5g,10,flow_proxy,3,16713.272014170187,783.0327784470733,27241.97558489624,904.0662060023795,0.5105210535906796,0.02391839962335972,0.6720850228103602,0.021565175467575845,16713.272014 ± 783.032778,27241.975585 ± 904.066206,0.510521 ± 0.023918,0.672085 ± 0.021565
dcrnn,cicv5g,10,speed_mean_kmh,3,4.302466936213111,0.06051017691565315,7.7254786900718235,0.07524975142509371,0.5368485166357058,0.007550272715663144,0.487563598896422,0.009973238181631447,4.302467 ± 0.060510,7.725479 ± 0.075250,0.536849 ± 0.007550,0.487564 ± 0.009973
dcrnn,cicv5g,10,vehicle_count,3,1.4257017809302377,0.04945957668014732,2.388560767503711,0.08623879345649209,0.31413177257687636,0.010897667872238465,0.8473233693130946,0.010963866493414333,1.425702 ± 0.049460,2.388561 ± 0.086239,0.314132 ± 0.010898,0.847323 ± 0.010964
dcrnn,cicv5g,30,flow_proxy,3,15734.517185265664,260.870677178777,25648.496858925122,237.17248014436092,0.4943691769110224,0.008196401607916029,0.7027265074800635,0.005491061974717906,15734.517185 ± 260.870677,25648.496859 ± 237.172480,0.494369 ± 0.008196,0.702727 ± 0.005491
dcrnn,cicv5g,30,speed_mean_kmh,3,4.3632473848301245,0.026277116844127337,7.7160080514091645,0.04979423677603864,0.554684264010742,0.0033405172642019592,0.4819162325357796,0.006695408243546288,4.363247 ± 0.026277,7.716008 ± 0.049794,0.554684 ± 0.003341,0.481916 ± 0.006695
dcrnn,cicv5g,30,vehicle_count,3,1.6176756248937252,0.043178449172415506,2.7360220516820153,0.0948436074876849,0.36276951256072215,0.009682920802144198,0.7895304081253256,0.014591726268114,1.617676 ± 0.043178,2.736022 ± 0.094844,0.362770 ± 0.009683,0.789530 ± 0.014592
dcrnn,clean,5,flow_proxy,3,13992.470019165406,481.6137410660733,22814.271098882473,607.9637216934858,0.43619754147550954,0.015013698761269472,0.7624163626412813,0.012586300336120996,13992.470019 ± 481.613741,22814.271099 ± 607.963722,0.436198 ± 0.015014,0.762416 ± 0.012586
dcrnn,clean,5,speed_mean_kmh,3,3.9160068781697084,0.03821963069461845,7.425587514359775,0.03502230093177615,0.49602867548895074,0.004841164323998662,0.5234150665270981,0.004489388323568149,3.916007 ± 0.038220,7.425588 ± 0.035022,0.496029 ± 0.004841,0.523415 ± 0.004489
dcrnn,clean,5,vehicle_count,3,1.1182053462188566,0.023266051042784994,1.8907401473231629,0.047072036275180536,0.24805045776556123,0.005161086584923345,0.9059737811414262,0.004646982697820129,1.118205 ± 0.023266,1.890740 ± 0.047072,0.248050 ± 0.005161,0.905974 ± 0.004647
dcrnn,clean,10,flow_proxy,3,16713.272014170187,783.0327784470733,27241.97558489624,904.0662060023795,0.5105210535906796,0.02391839962335972,0.6720850228103602,0.021565175467575845,16713.272014 ± 783.032778,27241.975585 ± 904.066206,0.510521 ± 0.023918,0.672085 ± 0.021565
dcrnn,clean,10,speed_mean_kmh,3,4.302466936213111,0.06051017691565315,7.7254786900718235,0.07524975142509371,0.5368485166357058,0.007550272715663144,0.487563598896422,0.009973238181631447,4.302467 ± 0.060510,7.725479 ± 0.075250,0.536849 ± 0.007550,0.487564 ± 0.009973
dcrnn,clean,10,vehicle_count,3,1.4257017809302377,0.04945957668014732,2.388560767503711,0.08623879345649209,0.31413177257687636,0.010897667872238465,0.8473233693130946,0.010963866493414333,1.425702 ± 0.049460,2.388561 ± 0.086239,0.314132 ± 0.010898,0.847323 ± 0.010964
dcrnn,clean,30,flow_proxy,3,15734.517185265664,260.870677178777,25648.496858925122,237.17248014436092,0.4943691769110224,0.008196401607916029,0.7027265074800635,0.005491061974717906,15734.517185 ± 260.870677,25648.496859 ± 237.172480,0.494369 ± 0.008196,0.702727 ± 0.005491
dcrnn,clean,30,speed_mean_kmh,3,4.3632473848301245,0.026277116844127337,7.7160080514091645,0.04979423677603864,0.554684264010742,0.0033405172642019592,0.4819162325357796,0.006695408243546288,4.363247 ± 0.026277,7.716008 ± 0.049794,0.554684 ± 0.003341,0.481916 ± 0.006695
dcrnn,clean,30,vehicle_count,3,1.6176756248937252,0.043178449172415506,2.7360220516820153,0.0948436074876849,0.36276951256072215,0.009682920802144198,0.7895304081253256,0.014591726268114,1.617676 ± 0.043178,2.736022 ± 0.094844,0.362770 ± 0.009683,0.789530 ± 0.014592
dcrnn,see_v2x,5,flow_proxy,3,13984.24917582959,467.32089544784077,22810.499795142565,591.3871319742813,0.43594126709028475,0.014568137390702122,0.7625009134264836,0.012237835828829785,13984.249176 ± 467.320895,22810.499795 ± 591.387132,0.435941 ± 0.014568,0.762501 ± 0.012238
dcrnn,see_v2x,5,speed_mean_kmh,3,3.918518474574004,0.03774569160322445,7.425803221345956,0.035058566123958745,0.4963468117631056,0.004781131901410933,0.5233873631192347,0.004494152244652672,3.918518 ± 0.037746,7.425803 ± 0.035059,0.496347 ± 0.004781,0.523387 ± 0.004494
dcrnn,see_v2x,5,vehicle_count,3,1.118776817700308,0.022199660726338232,1.8952781784155859,0.04505908194273939,0.248177226755759,0.004924530207290392,0.905525325487584,0.004459722673201242,1.118777 ± 0.022200,1.895278 ± 0.045059,0.248177 ± 0.004925,0.905525 ± 0.004460
dcrnn,see_v2x,10,flow_proxy,3,16707.325318866584,771.4339284939947,27242.779190711026,883.7877282012188,0.5103394067444363,0.02356410292469625,0.6720763624093996,0.021100015531397828,16707.325319 ± 771.433928,27242.779191 ± 883.787728,0.510339 ± 0.023564,0.672076 ± 0.021100
dcrnn,see_v2x,10,speed_mean_kmh,3,4.30503997915811,0.06324091713251553,7.729738139358936,0.07566355296565543,0.5371695729758803,0.007891006033658157,0.4869980569447605,0.010031237545660173,4.305040 ± 0.063241,7.729738 ± 0.075664,0.537170 ± 0.007891,0.486998 ± 0.010031
dcrnn,see_v2x,10,vehicle_count,3,1.427874546265011,0.04921649968331606,2.3921884758357677,0.08514212057360838,0.31461050847742394,0.010844109541240638,0.8468630046177651,0.010850756213145437,1.427875 ± 0.049216,2.392188 ± 0.085142,0.314611 ± 0.010844,0.846863 ± 0.010851
dcrnn,see_v2x,30,flow_proxy,3,15741.160130251015,260.60698180357116,25657.451284207305,223.73711449888526,0.4945778942937043,0.008188116455975168,0.7025207797671192,0.005179374691783125,15741.160130 ± 260.606982,25657.451284 ± 223.737114,0.494578 ± 0.008188,0.702521 ± 0.005179
