model,seed,epoch,train_total,train_forecast,train_reconstruction,validation_total,validation_forecast,validation_reconstruction
dcrnn,42,1,0.1788010338862096,0.1788010338862096,0.0,0.13174053447114098,0.13174053447114098,0.0
dcrnn,42,2,0.12758216237829578,0.12758216237829578,0.0,0.12701262699233162,0.12701262699233162,0.0
dcrnn,42,3,0.11278032319199655,0.11278032319199655,0.0,0.11664099494616191,0.11664099494616191,0.0
dcrnn,42,4,0.10529587532003079,0.10529587532003079,0.0,0.11022261695729361,0.11022261695729361,0.0
dcrnn,42,5,0.0997005024504277,0.0997005024504277,0.0,0.10930219044287999,0.10930219044287999,0.0
dcrnn,42,6,0.09610035234401303,0.09610035234401303,0.0,0.10549898362822002,0.10549898362822002,0.0
dcrnn,42,7,0.09281575433429211,0.09281575433429211,0.0,0.107657124598821,0.107657124598821,0.0
dcrnn,42,8,0.09045156217630833,0.09045156217630833,0.0,0.1102940042813619,0.1102940042813619,0.0
dcrnn,42,9,0.08849147671172695,0.08849147671172695,0.0,0.11356928199529648,0.11356928199529648,0.0
dcrnn,42,10,0.08634258013579153,0.08634258013579153,0.0,0.11300475233130985,0.11300475233130985,0.0
dcrnn,42,11,0.08470717475058571,0.08470717475058571,0.0,0.11269869986507627,0.11269869986507627,0.0
dcrnn,42,12,0.08298928530946854,0.08298928530946854,0.0,0.11363998552163442,0.11363998552163442,0.0
graph_wavenet,42,1,0.18565711799648502,0.18565711799648502,0.0,0.13901603553030226,0.13901603553030226,0.0
graph_wavenet,42,2,0.13232815091408068,0.13232815091408068,0.0,0.12382375200589497,0.12382375200589497,0.0
graph_wavenet,42,3,0.11132576508868125,0.11132576508868125,0.0,0.11040207578076257,0.11040207578076257,0.0
graph_wavenet,42,4,0.0992628435093549,0.0992628435093549,0.0,0.10863445616430706,0.10863445616430706,0.0
graph_wavenet,42,5,0.09249219628832032,0.09249219628832032,0.0,0.10630930960178375,0.10630930960178375,0.0
graph_wavenet,42,6,0.08812742193620052,0.08812742193620052,0.0,0.10144464754396015,0.10144464754396015,0.0
graph_wavenet,42,7,0.08471097791146848,0.08471097791146848,0.0,0.10594279567400615,0.10594279567400615,0.0
graph_wavenet,42,8,0.08146519147821012,0.08146519147821012,0.0,0.10317826933330959,0.10317826933330959,0.0
graph_wavenet,42,9,0.07866698395340674,0.07866698395340674,0.0,0.10517638176679611,0.10517638176679611,0.0
graph_wavenet,42,10,0.0766860015930668,0.0766860015930668,0.0,0.1015538838174608,0.1015538838174608,0.0
graph_wavenet,42,11,0.07456645165239612,0.07456645165239612,0.0,0.10180418358908759,0.10180418358908759,0.0
graph_wavenet,42,12,0.07283170959882197,0.07283170959882197,0.0,0.10290724784135818,0.10290724784135818,0.0
graph_gru,42,1,0.2025406960277788,0.2025406960277788,0.0,0.14715763760937584,0.14715763760937584,0.0
graph_gru,42,2,0.1521071745984016,0.1521071745984016,0.0,0.12756064865324232,0.12756064865324232,0.0
graph_gru,42,3,0.1298955182034162,0.1298955182034162,0.0,0.11426428374316958,0.11426428374316958,0.0
graph_gru,42,4,0.1200713839141592,0.1200713839141592,0.0,0.10962780647807652,0.10962780647807652,0.0
