domain,sample_index,horizon_s,target,PICP,MPIW,source_file,start,latency_mean_ms,latency_p95_ms,aoi_mean_s,aoi_p95_s,packet_loss_mean,jitter_mean_ms,channel_busy_mean_pct,throughput_mean_bps,rsrp_mean_dbm,sinr_mean_db
cicv5g,0,5,speed_mean_kmh,0.819672131147541,8.307629986403485,20181024_d10_0830_0900.csv,669,466.8754858381062,663.1172379032258,0.3215761863175816,0.4477775171065494,,,,,,
cicv5g,0,5,vehicle_count,0.8032786885245902,2.3178795130582985,20181024_d10_0830_0900.csv,669,466.8754858381062,663.1172379032258,0.3215761863175816,0.4477775171065494,,,,,,
cicv5g,0,5,flow_proxy,0.819672131147541,29706.820493529398,20181024_d10_0830_0900.csv,669,466.8754858381062,663.1172379032258,0.3215761863175816,0.4477775171065494,,,,,,
cicv5g,0,10,speed_mean_kmh,0.8360655737704918,8.783730086240977,20181024_d10_0830_0900.csv,669,466.8754858381062,663.1172379032258,0.3215761863175816,0.4477775171065494,,,,,,
cicv5g,0,10,vehicle_count,0.8688524590163934,2.778744114188612,20181024_d10_0830_0900.csv,669,466.8754858381062,663.1172379032258,0.3215761863175816,0.4477775171065494,,,,,,
cicv5g,0,10,flow_proxy,0.8524590163934426,32513.250884662186,20181024_d10_0830_0900.csv,669,466.8754858381062,663.1172379032258,0.3215761863175816,0.4477775171065494,,,,,,
cicv5g,0,30,speed_mean_kmh,0.7377049180327869,9.523595318107036,20181024_d10_0830_0900.csv,669,466.8754858381062,663.1172379032258,0.3215761863175816,0.4477775171065494,,,,,,
cicv5g,0,30,vehicle_count,0.7540983606557377,3.3083139025518666,20181024_d10_0830_0900.csv,669,466.8754858381062,663.1172379032258,0.3215761863175816,0.4477775171065494,,,,,,
cicv5g,0,30,flow_proxy,0.7377049180327869,34040.46546084988,20181024_d10_0830_0900.csv,669,466.8754858381062,663.1172379032258,0.3215761863175816,0.4477775171065494,,,,,,
cicv5g,1,5,speed_mean_kmh,0.8032786885245902,7.955816696117084,20181024_d10_0830_0900.csv,670,457.3487181613385,652.9580645161291,0.31571002470141996,0.4413225806451614,,,,,,
cicv5g,1,5,vehicle_count,0.8852459016393442,2.324891218210134,20181024_d10_0830_0900.csv,670,457.3487181613385,652.9580645161291,0.31571002470141996,0.4413225806451614,,,,,,
cicv5g,1,5,flow_proxy,0.9180327868852459,29620.722217289665,20181024_d10_0830_0900.csv,670,457.3487181613385,652.9580645161291,0.31571002470141996,0.4413225806451614,,,,,,
cicv5g,1,10,speed_mean_kmh,0.819672131147541,8.417098273163024,20181024_d10_0830_0900.csv,670,457.3487181613385,652.9580645161291,0.31571002470141996,0.4413225806451614,,,,,,
cicv5g,1,10,vehicle_count,0.8688524590163934,2.7966794653638316,20181024_d10_0830_0900.csv,670,457.3487181613385,652.9580645161291,0.31571002470141996,0.4413225806451614,,,,,,
cicv5g,1,10,flow_proxy,0.8360655737704918,32396.066616764045,20181024_d10_0830_0900.csv,670,457.3487181613385,652.9580645161291,0.31571002470141996,0.4413225806451614,,,,,,
cicv5g,1,30,speed_mean_kmh,0.8688524590163934,9.11523028512431,20181024_d10_0830_0900.csv,670,457.3487181613385,652.9580645161291,0.31571002470141996,0.4413225806451614,,,,,,
cicv5g,1,30,vehicle_count,0.8360655737704918,3.295605382486987,20181024_d10_0830_0900.csv,670,457.3487181613385,652.9580645161291,0.31571002470141996,0.4413225806451614,,,,,,
cicv5g,1,30,flow_proxy,0.7868852459016393,33811.490447263765,20181024_d10_0830_0900.csv,670,457.3487181613385,652.9580645161291,0.31571002470141996,0.4413225806451614,,,,,,
cicv5g,2,5,speed_mean_kmh,0.8688524590163934,8.189087463867542,20181024_d10_0830_0900.csv,671,447.22186902481195,646.4116431451613,0.3094170465326354,0.4359234375,,,,,,
cicv5g,2,5,vehicle_count,0.9180327868852459,2.3102542541589077,20181024_d10_0830_0900.csv,671,447.22186902481195,646.4116431451613,0.3094170465326354,0.4359234375,,,,,,
cicv5g,2,5,flow_proxy,0.9180327868852459,29121.874880992073,20181024_d10_0830_0900.csv,671,447.22186902481195,646.4116431451613,0.3094170465326354,0.4359234375,,,,,,
cicv5g,2,10,speed_mean_kmh,0.8032786885245902,8.63720004739529,20181024_d10_0830_0900.csv,671,447.22186902481195,646.4116431451613,0.3094170465326354,0.4359234375,,,,,,
cicv5g,2,10,vehicle_count,0.9016393442622951,2.7565139461047496,20181024_d10_0830_0900.csv,671,447.22186902481195,646.4116431451613,0.3094170465326354,0.4359234375,,,,,,
cicv5g,2,10,flow_proxy,0.7868852459016393,31857.833481334208,20181024_d10_0830_0900.csv,671,447.22186902481195,646.4116431451613,0.3094170465326354,0.4359234375,,,,,,
cicv5g,2,30,speed_mean_kmh,0.8360655737704918,9.49856684704748,20181024_d10_0830_0900.csv,671,447.22186902481195,646.4116431451613,0.3094170465326354,0.4359234375,,,,,,
cicv5g,2,30,vehicle_count,0.8360655737704918,3.275098967334714,20181024_d10_0830_0900.csv,671,447.22186902481195,646.4116431451613,0.3094170465326354,0.4359234375,,,,,,
cicv5g,2,30,flow_proxy,0.8032786885245902,33947.58940450244,20181024_d10_0830_0900.csv,671,447.22186902481195,646.4116431451613,0.3094170465326354,0.4359234375,,,,,,
cicv5g,3,5,speed_mean_kmh,0.8524590163934426,7.9000904190539165,20181024_d10_0830_0900.csv,672,437.5434283682463,636.0143649193549,0.3033932933760698,0.43294894153225805,,,,,,
cicv5g,3,5,vehicle_count,0.9344262295081968,2.295711457458383,20181024_d10_0830_0900.csv,672,437.5434283682463,636.0143649193549,0.3033932933760698,0.43294894153225805,,,,,,
cicv5g,3,5,flow_proxy,0.9016393442622951,28511.65425870166,20181024_d10_0830_0900.csv,672,437.5434283682463,636.0143649193549,0.3033932933760698,0.43294894153225805,,,,,,
cicv5g,3,10,speed_mean_kmh,0.7377049180327869,8.411627562980343,20181024_d10_0830_0900.csv,672,437.5434283682463,636.0143649193549,0.3033932933760698,0.43294894153225805,,,,,,
cicv5g,3,10,vehicle_count,0.8688524590163934,2.735811847954661,20181024_d10_0830_0900.csv,672,437.5434283682463,636.0143649193549,0.3033932933760698,0.43294894153225805,,,,,,
cicv5g,3,10,flow_proxy,0.819672131147541,31119.383030393983,20181024_d10_0830_0900.csv,672,437.5434283682463,636.0143649193549,0.3033932933760698,0.43294894153225805,,,,,,
cicv5g,3,30,speed_mean_kmh,0.8524590163934426,9.525969293147279,20181024_d10_0830_0900.csv,672,437.5434283682463,636.0143649193549,0.3033932933760698,0.43294894153225805,,,,,,
cicv5g,3,30,vehicle_count,0.8688524590163934,3.2580587873687525,20181024_d10_0830_0900.csv,672,437.5434283682463,636.0143649193549,0.3033932933760698,0.43294894153225805,,,,,,
cicv5g,3,30,flow_proxy,0.8524590163934426,34103.70054532644,20181024_d10_0830_0900.csv,672,437.5434283682463,636.0143649193549,0.3033932933760698,0.43294894153225805,,,,,,
cicv5g,4,5,speed_mean_kmh,0.8852459016393442,7.471737456113148,20181024_d10_0830_0900.csv,673,432.688811037443,636.0143649193549,0.3006016741477333,0.43294894153225805,,,,,,
cicv5g,4,5,vehicle_count,0.9016393442622951,2.2470501395169507,20181024_d10_0830_0900.csv,673,432.688811037443,636.0143649193549,0.3006016741477333,0.43294894153225805,,,,,,
cicv5g,4,5,flow_proxy,0.9016393442622951,28077.507620774424,20181024_d10_0830_0900.csv,673,432.688811037443,636.0143649193549,0.3006016741477333,0.43294894153225805,,,,,,
cicv5g,4,10,speed_mean_kmh,0.7704918032786885,8.045307892451705,20181024_d10_0830_0900.csv,673,432.688811037443,636.0143649193549,0.3006016741477333,0.43294894153225805,,,,,,
cicv5g,4,10,vehicle_count,0.8688524590163934,2.6789844343885045,20181024_d10_0830_0900.csv,673,432.688811037443,636.0143649193549,0.3006016741477333,0.43294894153225805,,,,,,
cicv5g,4,10,flow_proxy,0.8032786885245902,30679.203444130337,20181024_d10_0830_0900.csv,673,432.688811037443,636.0143649193549,0.3006016741477333,0.43294894153225805,,,,,,
cicv5g,4,30,speed_mean_kmh,0.819672131147541,9.247965201486942,20181024_d10_0830_0900.csv,673,432.688811037443,636.0143649193549,0.3006016741477333,0.43294894153225805,,,,,,
cicv5g,4,30,vehicle_count,0.8360655737704918,3.209463811070738,20181024_d10_0830_0900.csv,673,432.688811037443,636.0143649193549,0.3006016741477333,0.43294894153225805,,,,,,
cicv5g,4,30,flow_proxy,0.7540983606557377,33792.992742191396,20181024_d10_0830_0900.csv,673,432.688811037443,636.0143649193549,0.3006016741477333,0.43294894153225805,,,,,,
cicv5g,5,5,speed_mean_kmh,0.8852459016393442,7.440681610020269,20181024_d10_0830_0900.csv,674,427.6108104432659,636.0143649193549,0.29766730100453664,0.43294894153225805,,,,,,
cicv5g,5,5,vehicle_count,0.9344262295081968,2.260051862409317,20181024_d10_0830_0900.csv,674,427.6108104432659,636.0143649193549,0.29766730100453664,0.43294894153225805,,,,,,
cicv5g,5,5,flow_proxy,0.9180327868852459,28165.065921741716,20181024_d10_0830_0900.csv,674,427.6108104432659,636.0143649193549,0.29766730100453664,0.43294894153225805,,,,,,
cicv5g,5,10,speed_mean_kmh,0.7049180327868853,7.998516385596778,20181024_d10_0830_0900.csv,674,427.6108104432659,636.0143649193549,0.29766730100453664,0.43294894153225805,,,,,,
cicv5g,5,10,vehicle_count,0.8360655737704918,2.68434927742115,20181024_d10_0830_0900.csv,674,427.6108104432659,636.0143649193549,0.29766730100453664,0.43294894153225805,,,,,,
cicv5g,5,10,flow_proxy,0.7540983606557377,30629.256196488124,20181024_d10_0830_0900.csv,674,427.6108104432659,636.0143649193549,0.29766730100453664,0.43294894153225805,,,,,,
cicv5g,5,30,speed_mean_kmh,0.819672131147541,9.21157083350869,20181024_d10_0830_0900.csv,674,427.6108104432659,636.0143649193549,0.29766730100453664,0.43294894153225805,,,,,,
cicv5g,5,30,vehicle_count,0.8852459016393442,3.2180296070882815,20181024_d10_0830_0900.csv,674,427.6108104432659,636.0143649193549,0.29766730100453664,0.43294894153225805,,,,,,
cicv5g,5,30,flow_proxy,0.8360655737704918,34071.75038971921,20181024_d10_0830_0900.csv,674,427.6108104432659,636.0143649193549,0.29766730100453664,0.43294894153225805,,,,,,
cicv5g,6,5,speed_mean_kmh,0.8524590163934426,8.30534187934062,20181024_d10_0830_0900.csv,675,421.3090033942815,630.7923753665689,0.2939171815302236,0.4235200100806451,,,,,,
cicv5g,6,5,vehicle_count,0.8852459016393442,2.2939407513647816,20181024_d10_0830_0900.csv,675,421.3090033942815,630.7923753665689,0.2939171815302236,0.4235200100806451,,,,,,
cicv5g,6,5,flow_proxy,0.8360655737704918,28796.288369507503,20181024_d10_0830_0900.csv,675,421.3090033942815,630.7923753665689,0.2939171815302236,0.4235200100806451,,,,,,
cicv5g,6,10,speed_mean_kmh,0.7049180327868853,8.771993315814964,20181024_d10_0830_0900.csv,675,421.3090033942815,630.7923753665689,0.2939171815302236,0.4235200100806451,,,,,,
cicv5g,6,10,vehicle_count,0.7704918032786885,2.714094915002662,20181024_d10_0830_0900.csv,675,421.3090033942815,630.7923753665689,0.2939171815302236,0.4235200100806451,,,,,,
cicv5g,6,10,flow_proxy,0.819672131147541,30961.4964364202,20181024_d10_0830_0900.csv,675,421.3090033942815,630.7923753665689,0.2939171815302236,0.4235200100806451,,,,,,
cicv5g,6,30,speed_mean_kmh,0.819672131147541,10.066303653414845,20181024_d10_0830_0900.csv,675,421.3090033942815,630.7923753665689,0.2939171815302236,0.4235200100806451,,,,,,
cicv5g,6,30,vehicle_count,0.9344262295081968,3.2371561284496364,20181024_d10_0830_0900.csv,675,421.3090033942815,630.7923753665689,0.2939171815302236,0.4235200100806451,,,,,,
cicv5g,6,30,flow_proxy,0.8360655737704918,34784.35259349545,20181024_d10_0830_0900.csv,675,421.3090033942815,630.7923753665689,0.2939171815302236,0.4235200100806451,,,,,,
cicv5g,7,5,speed_mean_kmh,0.8524590163934426,8.403270198390183,20181024_d10_0830_0900.csv,676,415.1848098458944,626.349853372434,0.2903124196254616,0.42220478830645164,,,,,,
cicv5g,7,5,vehicle_count,0.9180327868852459,2.3162941899553586,20181024_d10_0830_0900.csv,676,415.1848098458944,626.349853372434,0.2903124196254616,0.42220478830645164,,,,,,
cicv5g,7,5,flow_proxy,0.8688524590163934,29582.835856943053,20181024_d10_0830_0900.csv,676,415.1848098458944,626.349853372434,0.2903124196254616,0.42220478830645164,,,,,,
cicv5g,7,10,speed_mean_kmh,0.7377049180327869,8.91296152311841,20181024_d10_0830_0900.csv,676,415.1848098458944,626.349853372434,0.2903124196254616,0.42220478830645164,,,,,,
cicv5g,7,10,vehicle_count,0.7540983606557377,2.728521858045344,20181024_d10_0830_0900.csv,676,415.1848098458944,626.349853372434,0.2903124196254616,0.42220478830645164,,,,,,
cicv5g,7,10,flow_proxy,0.8360655737704918,31693.469182861492,20181024_d10_0830_0900.csv,676,415.1848098458944,626.349853372434,0.2903124196254616,0.42220478830645164,,,,,,
cicv5g,7,30,speed_mean_kmh,0.8852459016393442,10.192804357140762,20181024_d10_0830_0900.csv,676,415.1848098458944,626.349853372434,0.2903124196254616,0.42220478830645164,,,,,,
cicv5g,7,30,vehicle_count,0.9016393442622951,3.2338957457549578,20181024_d10_0830_0900.csv,676,415.1848098458944,626.349853372434,0.2903124196254616,0.42220478830645164,,,,,,
cicv5g,7,30,flow_proxy,0.8524590163934426,34871.675708841874,20181024_d10_0830_0900.csv,676,415.1848098458944,626.349853372434,0.2903124196254616,0.42220478830645164,,,,,,
cicv5g,8,5,speed_mean_kmh,0.7868852459016393,8.418739575956293,20181024_d10_0830_0900.csv,677,409.69683636104594,626.349853372434,0.28716543414566365,0.41984897360703816,,,,,,
cicv5g,8,5,vehicle_count,0.8524590163934426,2.3001454688192684,20181024_d10_0830_0900.csv,677,409.69683636104594,626.349853372434,0.28716543414566365,0.41984897360703816,,,,,,
cicv5g,8,5,flow_proxy,0.8688524590163934,29824.210598127873,20181024_d10_0830_0900.csv,677,409.69683636104594,626.349853372434,0.28716543414566365,0.41984897360703816,,,,,,
cicv5g,8,10,speed_mean_kmh,0.819672131147541,8.997579931991632,20181024_d10_0830_0900.csv,677,409.69683636104594,626.349853372434,0.28716543414566365,0.41984897360703816,,,,,,
cicv5g,8,10,vehicle_count,0.7540983606557377,2.710346301686001,20181024_d10_0830_0900.csv,677,409.69683636104594,626.349853372434,0.28716543414566365,0.41984897360703816,,,,,,
cicv5g,8,10,flow_proxy,0.8032786885245902,32260.547332594484,20181024_d10_0830_0900.csv,677,409.69683636104594,626.349853372434,0.28716543414566365,0.41984897360703816,,,,,,
cicv5g,8,30,speed_mean_kmh,0.8852459016393442,10.294551265867534,20181024_d10_0830_0900.csv,677,409.69683636104594,626.349853372434,0.28716543414566365,0.41984897360703816,,,,,,
cicv5g,8,30,vehicle_count,0.8852459016393442,3.213442626185589,20181024_d10_0830_0900.csv,677,409.69683636104594,626.349853372434,0.28716543414566365,0.41984897360703816,,,,,,
cicv5g,8,30,flow_proxy,0.8852459016393442,34929.171508124185,20181024_d10_0830_0900.csv,677,409.69683636104594,626.349853372434,0.28716543414566365,0.41984897360703816,,,,,,
cicv5g,9,5,speed_mean_kmh,0.7540983606557377,8.14868459890111,20181024_d10_0830_0900.csv,678,404.1702066567449,622.300606060606,0.2840549334736206,0.4185930303030303,,,,,,
cicv5g,9,5,vehicle_count,0.819672131147541,2.318510927358385,20181024_d10_0830_0900.csv,678,404.1702066567449,622.300606060606,0.2840549334736206,0.4185930303030303,,,,,,
cicv5g,9,5,flow_proxy,0.8524590163934426,29940.954713388353,20181024_d10_0830_0900.csv,678,404.1702066567449,622.300606060606,0.2840549334736206,0.4185930303030303,,,,,,
cicv5g,9,10,speed_mean_kmh,0.7868852459016393,8.864121019918219,20181024_d10_0830_0900.csv,678,404.1702066567449,622.300606060606,0.2840549334736206,0.4185930303030303,,,,,,
cicv5g,9,10,vehicle_count,0.7540983606557377,2.729552756534338,20181024_d10_0830_0900.csv,678,404.1702066567449,622.300606060606,0.2840549334736206,0.4185930303030303,,,,,,
cicv5g,9,10,flow_proxy,0.7377049180327869,32293.72021687636,20181024_d10_0830_0900.csv,678,404.1702066567449,622.300606060606,0.2840549334736206,0.4185930303030303,,,,,,
cicv5g,9,30,speed_mean_kmh,0.9016393442622951,10.19437657768559,20181024_d10_0830_0900.csv,678,404.1702066567449,622.300606060606,0.2840549334736206,0.4185930303030303,,,,,,
cicv5g,9,30,vehicle_count,0.9672131147540983,3.1911788515763995,20181024_d10_0830_0900.csv,678,404.1702066567449,622.300606060606,0.2840549334736206,0.4185930303030303,,,,,,
cicv5g,9,30,flow_proxy,0.8688524590163934,34689.91504934074,20181024_d10_0830_0900.csv,678,404.1702066567449,622.300606060606,0.2840549334736206,0.4185930303030303,,,,,,
cicv5g,10,5,speed_mean_kmh,0.7377049180327869,8.03853781846689,20181024_d10_0830_0900.csv,679,398.9738524900782,622.300606060606,0.2811669126402873,0.4185930303030303,,,,,,
cicv5g,10,5,vehicle_count,0.7704918032786885,2.3269216023415225,20181024_d10_0830_0900.csv,679,398.9738524900782,622.300606060606,0.2811669126402873,0.4185930303030303,,,,,,
cicv5g,10,5,flow_proxy,0.819672131147541,29745.842046003367,20181024_d10_0830_0900.csv,679,398.9738524900782,622.300606060606,0.2811669126402873,0.4185930303030303,,,,,,
cicv5g,10,10,speed_mean_kmh,0.7377049180327869,8.769737541873786,20181024_d10_0830_0900.csv,679,398.9738524900782,622.300606060606,0.2811669126402873,0.4185930303030303,,,,,,
cicv5g,10,10,vehicle_count,0.7704918032786885,2.750390585919111,20181024_d10_0830_0900.csv,679,398.9738524900782,622.300606060606,0.2811669126402873,0.4185930303030303,,,,,,
cicv5g,10,10,flow_proxy,0.7704918032786885,32162.62050211801,20181024_d10_0830_0900.csv,679,398.9738524900782,622.300606060606,0.2811669126402873,0.4185930303030303,,,,,,
cicv5g,10,30,speed_mean_kmh,0.9016393442622951,10.150373670286937,20181024_d10_0830_0900.csv,679,398.9738524900782,622.300606060606,0.2811669126402873,0.4185930303030303,,,,,,
cicv5g,10,30,vehicle_count,0.9180327868852459,3.2234434387636837,20181024_d10_0830_0900.csv,679,398.9738524900782,622.300606060606,0.2811669126402873,0.4185930303030303,,,,,,
cicv5g,10,30,flow_proxy,0.8688524590163934,34790.94699792973,20181024_d10_0830_0900.csv,679,398.9738524900782,622.300606060606,0.2811669126402873,0.4185930303030303,,,,,,
cicv5g,11,5,speed_mean_kmh,0.7868852459016393,8.221074516957549,20181024_d10_0830_0900.csv,680,393.51478438971975,612.5818181818181,0.27820210977290377,0.4147181818181818,,,,,,
cicv5g,11,5,vehicle_count,0.7704918032786885,2.313953820826884,20181024_d10_0830_0900.csv,680,393.51478438971975,612.5818181818181,0.27820210977290377,0.4147181818181818,,,,,,
cicv5g,11,5,flow_proxy,0.8524590163934426,30054.707986953505,20181024_d10_0830_0900.csv,680,393.51478438971975,612.5818181818181,0.27820210977290377,0.4147181818181818,,,,,,
cicv5g,11,10,speed_mean_kmh,0.7540983606557377,8.958955045038767,20181024_d10_0830_0900.csv,680,393.51478438971975,612.5818181818181,0.27820210977290377,0.4147181818181818,,,,,,
cicv5g,11,10,vehicle_count,0.7540983606557377,2.7326022613147205,20181024_d10_0830_0900.csv,680,393.51478438971975,612.5818181818181,0.27820210977290377,0.4147181818181818,,,,,,
cicv5g,11,10,flow_proxy,0.7868852459016393,32580.36533751782,20181024_d10_0830_0900.csv,680,393.51478438971975,612.5818181818181,0.27820210977290377,0.4147181818181818,,,,,,
