domain,communication_metric,baseline,horizon_s,target,severity,samples,ca_dtnet_MAE,baseline_MAE,ca_dtnet_improvement_pct
cicv5g,latency_p95_ms,impaired_gru,5,flow_proxy,Q2-moderate,25,14904.04287092613,15640.417540522732,4.708152245221454
cicv5g,latency_p95_ms,impaired_gru,5,flow_proxy,Q3-high,12,13727.37213383663,15757.795415121536,12.88519889866813
cicv5g,latency_p95_ms,impaired_gru,5,flow_proxy,Q4-severe,18,10360.746784320228,10151.561598282256,-2.060620762752029
cicv5g,latency_p95_ms,impaired_gru,5,speed_mean_kmh,Q1-mild,19,3.607514404245196,4.093779208172694,11.878139440664503
cicv5g,latency_p95_ms,impaired_gru,5,speed_mean_kmh,Q2-moderate,25,4.515037117514984,4.654350698537788,2.9931904522633292
cicv5g,latency_p95_ms,impaired_gru,5,speed_mean_kmh,Q3-high,12,3.615452466630027,3.9438187181768494,8.326098996406454
cicv5g,latency_p95_ms,impaired_gru,5,speed_mean_kmh,Q4-severe,18,2.9469533635852936,2.8797476297647804,-2.333736918211438
cicv5g,latency_p95_ms,impaired_gru,5,vehicle_count,Q1-mild,19,1.0339920138461944,1.173483431740207,11.886952378906598
cicv5g,latency_p95_ms,impaired_gru,5,vehicle_count,Q2-moderate,25,1.1058941644229034,1.1495262505699222,3.7956580587716586
cicv5g,latency_p95_ms,impaired_gru,5,vehicle_count,Q3-high,12,0.8922580984277902,0.9601167253965391,7.067747542253026
cicv5g,latency_p95_ms,impaired_gru,5,vehicle_count,Q4-severe,18,0.7573988331536279,0.7960622076132041,4.856828223238482
cicv5g,latency_p95_ms,impaired_gru,10,flow_proxy,Q1-mild,19,16438.278830532374,19920.84873159578,17.482035770584773
cicv5g,latency_p95_ms,impaired_gru,10,flow_proxy,Q2-moderate,25,17993.892788283658,18036.41562160982,0.2357609971861092
cicv5g,latency_p95_ms,impaired_gru,10,flow_proxy,Q3-high,12,14052.94399969939,16728.85493563577,15.995780621150345
cicv5g,latency_p95_ms,impaired_gru,10,flow_proxy,Q4-severe,18,13461.36420348317,13063.863629378817,-3.042748955294706
cicv5g,latency_p95_ms,impaired_gru,10,speed_mean_kmh,Q1-mild,19,4.304547688555816,4.988956326452173,13.718473198405745
cicv5g,latency_p95_ms,impaired_gru,10,speed_mean_kmh,Q2-moderate,25,4.907701419330754,4.948332003690726,0.8210965684508874
cicv5g,latency_p95_ms,impaired_gru,10,speed_mean_kmh,Q3-high,12,3.4631010470195154,3.96209135812802,12.594114187332941
cicv5g,latency_p95_ms,impaired_gru,10,speed_mean_kmh,Q4-severe,18,3.5382123419998304,3.3853624265048676,-4.515023675065314
cicv5g,latency_p95_ms,impaired_gru,10,vehicle_count,Q1-mild,19,1.371064820582939,1.5369576874260336,10.793587040223546
cicv5g,latency_p95_ms,impaired_gru,10,vehicle_count,Q2-moderate,25,1.513679837044704,1.5155680267363556,0.12458627035429319
cicv5g,latency_p95_ms,impaired_gru,10,vehicle_count,Q3-high,12,0.9055347370098522,1.0430605801851456,13.184837436038327
cicv5g,latency_p95_ms,impaired_gru,10,vehicle_count,Q4-severe,18,1.0738369171852737,1.0989875138232246,2.2885243092164873
cicv5g,latency_p95_ms,impaired_gru,30,flow_proxy,Q1-mild,19,14825.536062410003,14726.77147378934,-0.6706465758389519
cicv5g,latency_p95_ms,impaired_gru,30,flow_proxy,Q2-moderate,25,15041.240650563142,15887.316136644444,5.3254777509542786
cicv5g,latency_p95_ms,impaired_gru,30,flow_proxy,Q3-high,12,15653.37584022248,13163.672738343097,-18.91343815184263
cicv5g,latency_p95_ms,impaired_gru,30,flow_proxy,Q4-severe,18,13867.483742588922,15168.026726065536,8.57423979376853
cicv5g,latency_p95_ms,impaired_gru,30,speed_mean_kmh,Q1-mild,19,3.6517836831555086,4.166428029086745,12.35217171887225
cicv5g,latency_p95_ms,impaired_gru,30,speed_mean_kmh,Q2-moderate,25,4.5046451624339765,4.83776320898656,6.885786498297598
cicv5g,latency_p95_ms,impaired_gru,30,speed_mean_kmh,Q3-high,12,4.812574889508067,4.819943292022923,0.1528732197277757
cicv5g,latency_p95_ms,impaired_gru,30,speed_mean_kmh,Q4-severe,18,4.054581132889005,4.614290677836445,12.129915144333424
cicv5g,latency_p95_ms,impaired_gru,30,vehicle_count,Q1-mild,19,1.9167902655808295,1.765495270071992,-8.569549701807656
cicv5g,latency_p95_ms,impaired_gru,30,vehicle_count,Q2-moderate,25,1.9033245942561559,1.952835925383289,2.5353553890545033
cicv5g,latency_p95_ms,impaired_gru,30,vehicle_count,Q3-high,12,1.2304254355601714,1.1356120698185064,-8.349098026221954
cicv5g,latency_p95_ms,impaired_gru,30,vehicle_count,Q4-severe,18,1.0330398200175293,1.1886462329043523,13.091061685990994
cicv5g,latency_p95_ms,graph_gru,5,flow_proxy,Q1-mild,19,13021.156498031565,15000.038725946637,13.192514126585145
cicv5g,latency_p95_ms,graph_gru,5,flow_proxy,Q2-moderate,25,14904.04287092613,14978.573428880372,0.49758115022148125
cicv5g,latency_p95_ms,graph_gru,5,flow_proxy,Q3-high,12,13727.37213383663,14503.680987273832,5.352495370780935
cicv5g,latency_p95_ms,graph_gru,5,flow_proxy,Q4-severe,18,10360.746784320228,9275.639442829848,-11.698464005390033
cicv5g,latency_p95_ms,graph_gru,5,speed_mean_kmh,Q1-mild,19,3.607514404245196,4.044272140628883,10.799415076845689
cicv5g,latency_p95_ms,graph_gru,5,speed_mean_kmh,Q2-moderate,25,4.515037117514984,4.6522286317165,2.9489417818230246
cicv5g,latency_p95_ms,graph_gru,5,speed_mean_kmh,Q3-high,12,3.615452466630027,3.906560857353218,7.45178177450038
cicv5g,latency_p95_ms,graph_gru,5,speed_mean_kmh,Q4-severe,18,2.9469533635852936,2.917685519653359,-1.0031185209809679
cicv5g,latency_p95_ms,graph_gru,5,vehicle_count,Q1-mild,19,1.0339920138461944,1.1215291079908714,7.805155723597489
cicv5g,latency_p95_ms,graph_gru,5,vehicle_count,Q2-moderate,25,1.1058941644229034,1.1073526548355452,0.13170965844547738
cicv5g,latency_p95_ms,graph_gru,5,vehicle_count,Q3-high,12,0.8922580984277902,0.9746635500759379,8.45475864940793
cicv5g,latency_p95_ms,graph_gru,5,vehicle_count,Q4-severe,18,0.7573988331536279,0.8186277272284033,7.479455103986058
cicv5g,latency_p95_ms,graph_gru,10,flow_proxy,Q1-mild,19,16438.278830532374,20092.88543940647,18.18856042300827
cicv5g,latency_p95_ms,graph_gru,10,flow_proxy,Q2-moderate,25,17993.892788283658,18494.959163299525,2.7092050898381412
