domain,communication_metric,model,horizon_s,target,samples,severity_error_rho,p_value
cicv5g,latency_p95_ms,ca_dtnet,30,flow_proxy,74,-0.06483697471388594,0.583121262014183
cicv5g,latency_p95_ms,ca_dtnet,30,speed_mean_kmh,74,0.21722243258095492,0.06301712124833093
cicv5g,latency_p95_ms,ca_dtnet,30,vehicle_count,74,-0.8028495952544181,7.784128947653504e-18
cicv5g,latency_p95_ms,graph_gru,5,flow_proxy,74,-0.655930347397592,2.250253763363491e-10
cicv5g,latency_p95_ms,graph_gru,5,speed_mean_kmh,74,-0.5003364619158154,5.643901508032519e-06
cicv5g,latency_p95_ms,graph_gru,5,vehicle_count,74,-0.6466912641737578,4.839975077782932e-10
cicv5g,latency_p95_ms,graph_gru,10,flow_proxy,74,-0.7127016915800599,1.0613913182344307e-12
cicv5g,latency_p95_ms,graph_gru,10,speed_mean_kmh,74,-0.5173738067031756,2.3575802862938996e-06
cicv5g,latency_p95_ms,graph_gru,10,vehicle_count,74,-0.7483063258043863,1.8147695864216937e-14
cicv5g,latency_p95_ms,graph_gru,30,flow_proxy,74,-0.2606104745372575,0.02492296386041224
cicv5g,latency_p95_ms,graph_gru,30,speed_mean_kmh,74,0.1580596215190058,0.17862390608356304
cicv5g,latency_p95_ms,graph_gru,30,vehicle_count,74,-0.7547083272022522,8.12110902484862e-15
cicv5g,latency_p95_ms,historical_average,5,flow_proxy,74,-0.2954575633525556,0.0105979723711592
cicv5g,latency_p95_ms,historical_average,5,speed_mean_kmh,74,-0.3095241418300012,0.00728469067171132
cicv5g,latency_p95_ms,historical_average,5,vehicle_count,74,-0.674646175150054,4.384942609946664e-11
cicv5g,latency_p95_ms,historical_average,10,flow_proxy,74,-0.24853430948745467,0.03274467855286255
cicv5g,latency_p95_ms,historical_average,10,speed_mean_kmh,74,-0.29902248292445316,0.009653467071630378
cicv5g,latency_p95_ms,historical_average,10,vehicle_count,74,-0.646542725858262,4.898897153533578e-10
cicv5g,latency_p95_ms,historical_average,30,flow_proxy,74,0.41944249529684113,0.00019933864859115837
cicv5g,latency_p95_ms,historical_average,30,speed_mean_kmh,74,-0.012893125785029325,0.9131809639718292
cicv5g,latency_p95_ms,historical_average,30,vehicle_count,74,-0.6673380900276642,8.420739182797922e-11
cicv5g,latency_p95_ms,impaired_gru,5,flow_proxy,74,-0.5241471538897808,1.6442221214927571e-06
cicv5g,latency_p95_ms,impaired_gru,5,speed_mean_kmh,74,-0.49133503999677414,8.786169669739044e-06
cicv5g,latency_p95_ms,impaired_gru,5,vehicle_count,74,-0.7329771716452269,1.1325052335164956e-13
cicv5g,latency_p95_ms,impaired_gru,10,flow_proxy,74,-0.6724329542491676,5.353402614177464e-11
cicv5g,latency_p95_ms,impaired_gru,10,speed_mean_kmh,74,-0.555028269681343,2.868585920949659e-07
cicv5g,latency_p95_ms,impaired_gru,10,vehicle_count,74,-0.7131770141896463,1.0093707829049998e-12
cicv5g,latency_p95_ms,impaired_gru,30,flow_proxy,74,-0.0383377392294478,0.7457121951929546
cicv5g,latency_p95_ms,impaired_gru,30,speed_mean_kmh,74,0.15939646635846738,0.1749315064315423
cicv5g,latency_p95_ms,impaired_gru,30,vehicle_count,74,-0.7023485709900076,3.0946247723388545e-12
cicv5g,latency_p95_ms,persistence,5,flow_proxy,74,-0.3468369666825285,0.00246682408177198
cicv5g,latency_p95_ms,persistence,5,speed_mean_kmh,74,-0.2511634376717291,0.030886178818154374
