domain,communication_metric,model,horizon_s,target,severity,samples,communication_mean,MAE,MAE_CI_lower,MAE_CI_upper,RMSE,RMSE_CI_lower,RMSE_CI_upper
cicv5g,latency_mean_ms,ca_dtnet,5,vehicle_count,Q3-high,19,289.82927430382347,0.9683210952277246,0.9052752523578997,1.0393124561999045,1.7418690693628853,1.6085144484202505,1.8886297989235012
cicv5g,latency_mean_ms,ca_dtnet,5,vehicle_count,Q4-severe,18,408.3732159313111,0.7573988331536279,0.685710600957984,0.8330196463824462,1.313876932031736,1.209371137534238,1.429053115808389
cicv5g,latency_mean_ms,ca_dtnet,10,flow_proxy,Q1-mild,19,171.60300600140215,16438.278830532374,15269.391355948766,17517.871010966082,27787.97820687893,26059.4766365321,29599.702207248563
cicv5g,latency_mean_ms,ca_dtnet,10,flow_proxy,Q2-moderate,18,194.70449187218318,17240.44898135148,15826.654297717807,18642.93183258324,30507.080335855768,27455.599072588077,33341.57750379635
cicv5g,latency_mean_ms,ca_dtnet,10,flow_proxy,Q3-high,19,289.82927430382347,16218.66137048197,14744.341869824977,17738.11214723524,29055.71765878976,26111.48495359171,32041.316939574503
cicv5g,latency_mean_ms,ca_dtnet,10,flow_proxy,Q4-severe,18,408.3732159313111,13461.36420348317,12580.680076595447,14391.551923745648,23546.122250554687,21898.347464370272,25315.53879319749
cicv5g,latency_mean_ms,ca_dtnet,10,speed_mean_kmh,Q1-mild,19,171.60300600140215,4.304547688555816,3.9780281358281195,4.66661534932638,8.275469609783284,7.501822854642187,9.211573548445449
cicv5g,latency_mean_ms,ca_dtnet,10,speed_mean_kmh,Q2-moderate,18,194.70449187218318,4.442616634020693,3.9549134772527093,5.037847891876558,8.334092706218131,7.174373661806358,9.63861557030723
cicv5g,latency_mean_ms,ca_dtnet,10,speed_mean_kmh,Q3-high,19,289.82927430382347,4.435928875533188,3.7628903585423443,5.173570483809286,7.961758536814014,6.757809402335947,9.240769653151899
cicv5g,latency_mean_ms,ca_dtnet,10,speed_mean_kmh,Q4-severe,18,408.3732159313111,3.5382123419998304,3.361705505313089,3.7283426071983294,6.346228943371437,5.927127631382693,6.907462573652167
cicv5g,latency_mean_ms,ca_dtnet,10,vehicle_count,Q1-mild,19,171.60300600140215,1.371064820582939,1.3290428209394423,1.4186450300794582,2.236945051610027,2.1509640851135496,2.3316189523283635
cicv5g,latency_mean_ms,ca_dtnet,10,vehicle_count,Q2-moderate,18,194.70449187218318,1.4934155692691904,1.4366941431155684,1.5518191339443344,2.626363187012097,2.464167457685871,2.774941375896899
cicv5g,latency_mean_ms,ca_dtnet,10,vehicle_count,Q3-high,19,289.82927430382347,1.1487859222837054,1.004177778080738,1.305619043703614,2.0832924277365397,1.7877209950495974,2.391597792779505
cicv5g,latency_mean_ms,ca_dtnet,10,vehicle_count,Q4-severe,18,408.3732159313111,1.0738369171852737,1.010097012074626,1.1338761649549154,1.8470978463314158,1.7347354822227254,1.9639525068664347
cicv5g,latency_mean_ms,ca_dtnet,30,flow_proxy,Q1-mild,19,171.60300600140215,14825.536062410003,14423.026138551399,15207.201386608356,26922.838705030998,25781.482338523067,28014.33271822681
cicv5g,latency_mean_ms,ca_dtnet,30,flow_proxy,Q2-moderate,18,194.70449187218318,14222.489790244214,13716.722950894204,14775.648813261978,23538.32233019522,22439.983388907895,24665.502848644996
cicv5g,latency_mean_ms,ca_dtnet,30,flow_proxy,Q3-high,19,289.82927430382347,16203.51105907118,15541.97868568711,16907.988814277698,27950.741771956684,26730.332836790625,29000.464716798248
cicv5g,latency_mean_ms,ca_dtnet,30,flow_proxy,Q4-severe,18,408.3732159313111,13867.483742588922,13160.947291168566,14585.487136455593,24591.457501837038,23402.448653148615,25845.306569130313
cicv5g,latency_mean_ms,ca_dtnet,30,speed_mean_kmh,Q1-mild,19,171.60300600140215,3.6517836831555086,3.414843527870012,3.9205281902754794,6.605105379299613,6.148204194746925,7.128115136205101
cicv5g,latency_mean_ms,ca_dtnet,30,speed_mean_kmh,Q2-moderate,18,194.70449187218318,4.39159240439266,4.035139086659653,4.81670967642028,8.420373774486917,7.484809204547181,9.380686107637423
cicv5g,latency_mean_ms,ca_dtnet,30,speed_mean_kmh,Q3-high,19,289.82927430382347,4.806229708204122,4.534456721107228,5.082247034131345,9.142687665780464,8.323519707429696,10.00552772065122
cicv5g,latency_mean_ms,ca_dtnet,30,speed_mean_kmh,Q4-severe,18,408.3732159313111,4.054581132889005,3.612547477749686,4.499898060355053,7.379045065084187,6.6084032252599,8.281050558534927
cicv5g,latency_mean_ms,ca_dtnet,30,vehicle_count,Q1-mild,19,171.60300600140215,1.9167902655808295,1.8840634260008855,1.952211573727741,3.404173480314529,3.3359533467136058,3.4777132941486704
cicv5g,latency_mean_ms,ca_dtnet,30,vehicle_count,Q2-moderate,18,194.70449187218318,1.9599797761612057,1.9198373023563136,1.9993589173614164,3.4599490578050265,3.4034307352048034,3.509958648515922
cicv5g,latency_mean_ms,ca_dtnet,30,vehicle_count,Q3-high,19,289.82927430382347,1.4246623216960135,1.302746062083,1.558324801757939,2.4189797314752686,2.198885424587076,2.643338970172727
cicv5g,latency_mean_ms,ca_dtnet,30,vehicle_count,Q4-severe,18,408.3732159313111,1.0330398200175293,0.9621179698980312,1.1145638000854052,1.8254548026111515,1.6886407188387476,1.9818866963437365
cicv5g,latency_mean_ms,graph_gru,5,flow_proxy,Q1-mild,19,171.60300600140215,15000.038725946637,14213.893947833776,15718.458476941498,24006.56432850823,22956.90617676205,25009.35046720346
cicv5g,latency_mean_ms,graph_gru,5,flow_proxy,Q2-moderate,18,194.70449187218318,15280.93168330899,14541.562083378667,16182.214763207518,24494.600092873443,23303.31945430511,25732.708251889362
cicv5g,latency_mean_ms,graph_gru,5,flow_proxy,Q3-high,19,289.82927430382347,14392.19669840702,13703.574890817517,15094.340968583443,24524.934443836362,23199.336583837452,25820.70409434643
cicv5g,latency_mean_ms,graph_gru,5,flow_proxy,Q4-severe,18,408.3732159313111,9275.639442829848,8803.744704104582,9722.061952456439,15851.160052577827,15013.097193601201,16670.3123382311
cicv5g,latency_mean_ms,graph_gru,5,speed_mean_kmh,Q1-mild,19,171.60300600140215,4.044272140628883,3.8312784947920484,4.311318596471951,7.268203827964277,6.581748711223039,7.988541235088692
cicv5g,latency_mean_ms,graph_gru,5,speed_mean_kmh,Q2-moderate,18,194.70449187218318,4.666618653580207,4.140860578752304,5.317788814976614,8.557095021480324,7.185401563951809,9.818554033591395
cicv5g,latency_mean_ms,graph_gru,5,speed_mean_kmh,Q3-high,19,289.82927430382347,4.167647911405651,3.830431182959612,4.509275722277235,7.3224043104656245,6.650112157186728,7.996662176104683
cicv5g,latency_mean_ms,graph_gru,5,speed_mean_kmh,Q4-severe,18,408.3732159313111,2.917685519653359,2.8375094152475446,3.0033011138449432,4.958493410598186,4.713251125245689,5.209550272775213
cicv5g,latency_mean_ms,graph_gru,5,vehicle_count,Q1-mild,19,171.60300600140215,1.1215291079908714,1.0613670577445695,1.1787464067004798,1.7800390420406198,1.7089547178727664,1.8464334089135563
cicv5g,latency_mean_ms,graph_gru,5,vehicle_count,Q2-moderate,18,194.70449187218318,1.0982743733453775,1.05692534312977,1.1400517080141723,1.8288912883726178,1.7410039252254943,1.9127440479217765
cicv5g,latency_mean_ms,graph_gru,5,vehicle_count,Q3-high,19,289.82927430382347,1.032149486925426,0.9702833058760457,1.0855567168476163,1.7996049710240911,1.6654534884414314,1.9209065991777772
cicv5g,latency_mean_ms,graph_gru,5,vehicle_count,Q4-severe,18,408.3732159313111,0.8186277272284033,0.7753761056606299,0.8618648161959771,1.3143272793184813,1.2451450892098292,1.3894069953984853
cicv5g,latency_mean_ms,graph_gru,10,flow_proxy,Q1-mild,19,171.60300600140215,20092.88543940647,19120.02204021619,21098.935275594456,32213.994932413065,31194.69335058956,33314.25197404402
cicv5g,latency_mean_ms,graph_gru,10,flow_proxy,Q2-moderate,18,194.70449187218318,18223.7203434652,17467.02892624764,18908.26463255139,29287.65858933169,27660.61308187379,30880.7737310338
cicv5g,latency_mean_ms,graph_gru,10,flow_proxy,Q3-high,19,289.82927430382347,18261.215009704734,17331.365445015905,19169.23502004074,29765.733153202094,28373.060584337774,31326.75811534982
cicv5g,latency_mean_ms,graph_gru,10,flow_proxy,Q4-severe,18,408.3732159313111,12750.681321846749,11857.939226171908,13650.427044604176,21648.112781866188,20129.947334052034,23261.84295047493
cicv5g,latency_mean_ms,graph_gru,10,speed_mean_kmh,Q1-mild,19,171.60300600140215,4.871134590626486,4.65437213872829,5.113224978321444,7.993316593833058,7.364540900366688,8.732168854560928
cicv5g,latency_mean_ms,graph_gru,10,speed_mean_kmh,Q2-moderate,18,194.70449187218318,4.5156761692664436,4.102914214972316,5.038427689398074,7.834752200460335,6.725094443117719,9.118692053589545
cicv5g,latency_mean_ms,graph_gru,10,speed_mean_kmh,Q3-high,19,289.82927430382347,4.9172955202153,4.345327107546055,5.500625944458831,8.127004845214715,7.116817598629878,9.194976905627325
cicv5g,latency_mean_ms,graph_gru,10,speed_mean_kmh,Q4-severe,18,408.3732159313111,3.544636741906668,3.3379234795769994,3.761649235560512,5.825237455913987,5.405354817363268,6.369716704165574
cicv5g,latency_mean_ms,graph_gru,10,vehicle_count,Q1-mild,19,171.60300600140215,1.5379417473858414,1.4920337503416603,1.5839768774973142,2.5765291019799132,2.5004446680838366,2.653369308434083
cicv5g,latency_mean_ms,graph_gru,10,vehicle_count,Q2-moderate,18,194.70449187218318,1.4431563405173313,1.3817525153954882,1.5063664716433514,2.3464256773779173,2.259783765574033,2.426990328382891
cicv5g,latency_mean_ms,graph_gru,10,vehicle_count,Q3-high,19,289.82927430382347,1.273019973013296,1.1647113702178522,1.3844628731278699,2.1524541439839493,1.9288913261849328,2.3811236209500004
cicv5g,latency_mean_ms,graph_gru,10,vehicle_count,Q4-severe,18,408.3732159313111,1.1439933848119332,1.1027742195743826,1.1870452522725514,1.8906886965184202,1.8049890041140528,1.9842756687545338
cicv5g,latency_mean_ms,graph_gru,30,flow_proxy,Q1-mild,19,171.60300600140215,15843.004588567803,15375.688267447806,16373.228528052257,24942.746123411307,23967.288045378493,26135.352076539315
cicv5g,latency_mean_ms,graph_gru,30,flow_proxy,Q2-moderate,18,194.70449187218318,17405.041535393433,16670.450726439,18128.82508849052,28626.497864513585,27279.57179330391,29988.707662174307
