domain,communication_metric,model,horizon_s,target,mild_MAE,severe_MAE,relative_degradation_pct
cicv5g,aoi_mean_s,impaired_gru,5,vehicle_count,1.173483431740207,0.796062207613204,-32.16246695115779
cicv5g,aoi_mean_s,impaired_gru,10,flow_proxy,19920.84873159578,13063.863629378817,-34.42114939278611
cicv5g,aoi_mean_s,impaired_gru,10,speed_mean_kmh,4.988956326452173,3.3853624265048676,-32.14287301395143
cicv5g,aoi_mean_s,impaired_gru,10,vehicle_count,1.5369576874260336,1.0989875138232246,-28.495915947217306
cicv5g,aoi_mean_s,impaired_gru,30,flow_proxy,14726.77147378934,15168.026726065536,2.9962796194756005
cicv5g,aoi_mean_s,impaired_gru,30,speed_mean_kmh,4.166428029086746,4.614290677836444,10.74931919015855
cicv5g,aoi_mean_s,impaired_gru,30,vehicle_count,1.765495270071992,1.1886462329043523,-32.673496422155104
cicv5g,aoi_mean_s,persistence,5,flow_proxy,15676.616237423756,13743.569611005683,-12.330764478384078
cicv5g,aoi_mean_s,persistence,5,speed_mean_kmh,4.234218909753406,3.62668619618692,-14.34816491731769
cicv5g,aoi_mean_s,persistence,5,vehicle_count,1.1622088506597703,0.8888889074933206,-23.51728268628839
cicv5g,aoi_mean_s,persistence,10,flow_proxy,21069.35965136427,17623.902952400593,-16.35292555623039
cicv5g,aoi_mean_s,persistence,10,speed_mean_kmh,5.099902469545169,4.323304013236689,-15.227711891026985
cicv5g,aoi_mean_s,persistence,10,vehicle_count,1.6773080906397428,1.305100215233117,-22.19078744475519
cicv5g,aoi_mean_s,persistence,30,flow_proxy,32530.6631620049,26701.38100998087,-17.919346196516255
cicv5g,aoi_mean_s,persistence,30,speed_mean_kmh,7.755692463570391,6.485729672979322,-16.37458930867629
cicv5g,aoi_mean_s,persistence,30,vehicle_count,2.414150262228427,2.1994536263147015,-8.893258981577228
cicv5g,aoi_p95_s,ca_dtnet,5,flow_proxy,13021.156498031567,10278.784370657117,-21.060895226832685
cicv5g,aoi_p95_s,ca_dtnet,5,speed_mean_kmh,3.607514404245196,2.9442245068762722,-18.386340876414895
cicv5g,aoi_p95_s,ca_dtnet,5,vehicle_count,1.0339920138461942,0.7702159081827401,-25.51045845424149
cicv5g,aoi_p95_s,ca_dtnet,10,flow_proxy,16438.278830532374,12997.158823654308,-20.93357852334548
cicv5g,aoi_p95_s,ca_dtnet,10,speed_mean_kmh,4.304547688555815,3.4443825595420527,-19.982706413088415
cicv5g,aoi_p95_s,ca_dtnet,10,vehicle_count,1.371064820582939,1.060392173696899,-22.659223689221935
cicv5g,aoi_p95_s,ca_dtnet,30,flow_proxy,14825.536062410003,13659.85665819906,-7.862645905706743
cicv5g,aoi_p95_s,ca_dtnet,30,speed_mean_kmh,3.6517836831555077,3.9155321151252824,7.2224549461709655
cicv5g,aoi_p95_s,ca_dtnet,30,vehicle_count,1.916790265580829,1.036995511068302,-45.899374893579854
cicv5g,aoi_p95_s,graph_gru,5,flow_proxy,15000.038725946637,9294.004256778266,-38.04013158509006
cicv5g,aoi_p95_s,graph_gru,5,speed_mean_kmh,4.044272140628883,2.90161989556333,-28.25359428118286
cicv5g,aoi_p95_s,graph_gru,5,vehicle_count,1.1215291079908716,0.8301611863299366,-25.979523579637142
cicv5g,aoi_p95_s,graph_gru,10,flow_proxy,20092.88543940647,12240.032786714944,-39.08275233225828
cicv5g,aoi_p95_s,graph_gru,10,speed_mean_kmh,4.871134590626486,3.4191105199932603,-29.808744567363792
cicv5g,aoi_p95_s,graph_gru,10,vehicle_count,1.5379417473858414,1.1249374906309542,-26.85434963784991
cicv5g,aoi_p95_s,graph_gru,30,flow_proxy,15843.004588567805,15323.366600684398,-3.2799207055588795
cicv5g,aoi_p95_s,graph_gru,30,speed_mean_kmh,4.131304464041494,4.351574052710474,5.331720042737452
