domain,model,mean_severity_error_rho,mean_low_to_high_degradation_pct,mean_ca_dtnet_advantage_pct
cicv5g,historical_average,-0.3048514926494979,-14.913550374675212,
cicv5g,persistence,-0.38606925453226615,-16.267298711029426,25.527016803843324
cicv5g,impaired_gru,-0.4739119861888345,-23.311117441375117,4.8426707233549315
cicv5g,graph_gru,-0.515434045622579,-23.4606246134283,5.2384568652271115
cicv5g,ca_dtnet,-0.3521936608031673,-18.581559434643943,
see_v2x,historical_average,0.01684989870582847,1.222298430954395,
see_v2x,persistence,0.00356249039425656,-1.9291495451681402,25.06197094874708
see_v2x,impaired_gru,0.007094189256158068,2.7951067979492126,5.522245861171868
see_v2x,graph_gru,0.03109954252020098,4.031400514682991,5.894960018496868
see_v2x,ca_dtnet,0.005136525794291877,0.7102941738208536,
