model,domain,sample_index,horizon_s,target,MAE,RMSE,source_file,start,latency_mean_ms,latency_p95_ms,aoi_mean_s,aoi_p95_s,packet_loss_mean,jitter_mean_ms,channel_busy_mean_pct,throughput_mean_bps,rsrp_mean_dbm,sinr_mean_db
historical_average,cicv5g,0,5,speed_mean_kmh,5.056647748107637,6.768128202122866,20181024_d10_0830_0900.csv,669,466.8754858381062,663.1172379032258,0.3215761863175816,0.4477775171065494,,,,,,
historical_average,cicv5g,0,5,vehicle_count,1.7095318286211074,3.278644067425045,20181024_d10_0830_0900.csv,669,466.8754858381062,663.1172379032258,0.3215761863175816,0.4477775171065494,,,,,,
historical_average,cicv5g,0,5,flow_proxy,18648.155271224798,31247.50729573084,20181024_d10_0830_0900.csv,669,466.8754858381062,663.1172379032258,0.3215761863175816,0.4477775171065494,,,,,,
historical_average,cicv5g,0,10,speed_mean_kmh,5.412055879610697,7.953165741481151,20181024_d10_0830_0900.csv,669,466.8754858381062,663.1172379032258,0.3215761863175816,0.4477775171065494,,,,,,
historical_average,cicv5g,0,10,vehicle_count,1.3830092177523041,2.6396796025620013,20181024_d10_0830_0900.csv,669,466.8754858381062,663.1172379032258,0.3215761863175816,0.4477775171065494,,,,,,
historical_average,cicv5g,0,10,flow_proxy,15539.56426547182,26299.675683317044,20181024_d10_0830_0900.csv,669,466.8754858381062,663.1172379032258,0.3215761863175816,0.4477775171065494,,,,,,
historical_average,cicv5g,0,30,speed_mean_kmh,6.7510905559311905,10.663855020022446,20181024_d10_0830_0900.csv,669,466.8754858381062,663.1172379032258,0.3215761863175816,0.4477775171065494,,,,,,
historical_average,cicv5g,0,30,vehicle_count,1.3544293861437153,2.172478881371936,20181024_d10_0830_0900.csv,669,466.8754858381062,663.1172379032258,0.3215761863175816,0.4477775171065494,,,,,,
historical_average,cicv5g,0,30,flow_proxy,22181.654453786523,35557.93708401515,20181024_d10_0830_0900.csv,669,466.8754858381062,663.1172379032258,0.3215761863175816,0.4477775171065494,,,,,,
historical_average,cicv5g,1,5,speed_mean_kmh,5.662545473021274,8.250363453673152,20181024_d10_0830_0900.csv,670,457.3487181613385,652.9580645161291,0.31571002470141996,0.4413225806451614,,,,,,
historical_average,cicv5g,1,5,vehicle_count,1.5882007449429993,3.0902839586689153,20181024_d10_0830_0900.csv,670,457.3487181613385,652.9580645161291,0.31571002470141996,0.4413225806451614,,,,,,
