domain,communication_metric,horizon_s,target,severity,samples,PICP,MPIW,coverage_error_from_0_8
cicv5g,latency_mean_ms,30,vehicle_count,Q4-severe,18,0.8743169398907102,3.2610837133090183,0.0743169398907102
cicv5g,latency_p95_ms,5,flow_proxy,Q1-mild,19,0.817083692838654,36218.05985430082,0.017083692838653963
cicv5g,latency_p95_ms,5,flow_proxy,Q2-moderate,25,0.7986885245901638,37371.47525778287,-0.001311475409836227
cicv5g,latency_p95_ms,5,flow_proxy,Q3-high,12,0.8032786885245901,32972.5065580704,0.003278688524590012
cicv5g,latency_p95_ms,5,flow_proxy,Q4-severe,18,0.8679417122040073,29860.43139209478,0.06794171220400724
cicv5g,latency_p95_ms,5,speed_mean_kmh,Q1-mild,19,0.7860224331320103,9.649825970368203,-0.013977566867989788
cicv5g,latency_p95_ms,5,speed_mean_kmh,Q2-moderate,25,0.780327868852459,11.032408211990743,-0.019672131147541072
cicv5g,latency_p95_ms,5,speed_mean_kmh,Q3-high,12,0.8128415300546448,8.95285397400002,0.012841530054644723
cicv5g,latency_p95_ms,5,speed_mean_kmh,Q4-severe,18,0.8224043715846994,8.046602849795416,0.022404371584699323
cicv5g,latency_p95_ms,5,vehicle_count,Q1-mild,19,0.7886108714408974,2.6753007775808855,-0.01138912855910268
cicv5g,latency_p95_ms,5,vehicle_count,Q2-moderate,25,0.7921311475409837,2.628778412417015,-0.007868852459016362
cicv5g,latency_p95_ms,5,vehicle_count,Q3-high,12,0.8346994535519126,2.4125269011541723,0.03469945355191251
cicv5g,latency_p95_ms,5,vehicle_count,Q4-severe,18,0.8652094717668488,2.3237871116260056,0.06520947176684877
cicv5g,latency_p95_ms,10,flow_proxy,Q1-mild,19,0.7644521138912856,38035.021192339234,-0.0355478861087144
cicv5g,latency_p95_ms,10,flow_proxy,Q2-moderate,25,0.7724590163934427,40284.167158624834,-0.027540983606557323
cicv5g,latency_p95_ms,10,flow_proxy,Q3-high,12,0.8155737704918032,35546.07082651023,0.015573770491803196
cicv5g,latency_p95_ms,10,flow_proxy,Q4-severe,18,0.7877959927140255,32358.005612366742,-0.012204007285974594
cicv5g,latency_p95_ms,10,speed_mean_kmh,Q1-mild,19,0.7402933563416738,10.2509223319081,-0.05970664365832623
cicv5g,latency_p95_ms,10,speed_mean_kmh,Q2-moderate,25,0.7547540983606558,11.615820691605508,-0.04524590163934428
cicv5g,latency_p95_ms,10,speed_mean_kmh,Q3-high,12,0.8415300546448088,9.737885785378259,0.041530054644808745
cicv5g,latency_p95_ms,10,speed_mean_kmh,Q4-severe,18,0.7650273224043715,8.689219397489458,-0.0349726775956285
cicv5g,latency_p95_ms,10,vehicle_count,Q1-mild,19,0.7730802415875755,3.2092635516064254,-0.026919758412424555
cicv5g,latency_p95_ms,10,vehicle_count,Q2-moderate,25,0.7534426229508198,3.1331582273337633,-0.04655737704918028
cicv5g,latency_p95_ms,10,vehicle_count,Q3-high,12,0.8743169398907104,2.838333921648411,0.07431693989071031
cicv5g,latency_p95_ms,10,vehicle_count,Q4-severe,18,0.8214936247723132,2.751846945218863,0.021493624772313202
cicv5g,latency_p95_ms,30,flow_proxy,Q1-mild,19,0.7981018119068162,35996.91424765215,-0.0018981880931838724
cicv5g,latency_p95_ms,30,flow_proxy,Q2-moderate,25,0.799344262295082,39582.337415487695,-0.0006557377049180024
cicv5g,latency_p95_ms,30,flow_proxy,Q3-high,12,0.814207650273224,39061.2652431853,0.014207650273223904
cicv5g,latency_p95_ms,30,flow_proxy,Q4-severe,18,0.8296903460837888,34792.962121690594,0.029690346083788732
cicv5g,latency_p95_ms,30,speed_mean_kmh,Q1-mild,19,0.8231233822260569,10.975760218179573,0.02312338222605681
cicv5g,latency_p95_ms,30,speed_mean_kmh,Q2-moderate,25,0.8045901639344263,12.16480528984674,0.004590163934426239
cicv5g,latency_p95_ms,30,speed_mean_kmh,Q3-high,12,0.7650273224043715,10.733559403943723,-0.0349726775956285
cicv5g,latency_p95_ms,30,speed_mean_kmh,Q4-severe,18,0.825136612021858,9.882780869115953,0.025136612021857907
cicv5g,latency_p95_ms,30,vehicle_count,Q1-mild,19,0.7161345987920621,3.7075552238304126,-0.08386540120793795
cicv5g,latency_p95_ms,30,vehicle_count,Q2-moderate,25,0.7213114754098362,3.6312247308437238,-0.07868852459016384
cicv5g,latency_p95_ms,30,vehicle_count,Q3-high,12,0.8224043715846995,3.426899031854394,0.022404371584699434
cicv5g,latency_p95_ms,30,vehicle_count,Q4-severe,18,0.8743169398907102,3.2610837133090183,0.0743169398907102
cicv5g,aoi_mean_s,5,flow_proxy,Q1-mild,19,0.817083692838654,36218.05985430082,0.017083692838653963
cicv5g,aoi_mean_s,5,flow_proxy,Q2-moderate,18,0.8087431693989071,38284.44402460857,0.008743169398907069
cicv5g,aoi_mean_s,5,flow_proxy,Q3-high,19,0.7920621225194132,33728.26145781381,-0.00793787748058683
cicv5g,aoi_mean_s,5,flow_proxy,Q4-severe,18,0.8679417122040073,29860.43139209478,0.06794171220400724
cicv5g,aoi_mean_s,5,speed_mean_kmh,Q1-mild,19,0.7860224331320103,9.649825970368203,-0.013977566867989788
cicv5g,aoi_mean_s,5,speed_mean_kmh,Q2-moderate,18,0.7887067395264117,11.02256585477843,-0.011293260473588362
cicv5g,aoi_mean_s,5,speed_mean_kmh,Q3-high,19,0.7929249352890423,9.728329873776689,-0.007075064710957757
cicv5g,aoi_mean_s,5,speed_mean_kmh,Q4-severe,18,0.8224043715846994,8.046602849795416,0.022404371584699323
cicv5g,aoi_mean_s,5,vehicle_count,Q1-mild,19,0.7886108714408974,2.6753007775808855,-0.01138912855910268
cicv5g,aoi_mean_s,5,vehicle_count,Q2-moderate,18,0.7896174863387979,2.6664888690991564,-0.01038251366120213
cicv5g,aoi_mean_s,5,vehicle_count,Q3-high,19,0.8213977566867989,2.4564728147626647,0.021397756686798886
cicv5g,aoi_mean_s,5,vehicle_count,Q4-severe,18,0.8652094717668488,2.3237871116260056,0.06520947176684877
cicv5g,aoi_mean_s,10,flow_proxy,Q1-mild,19,0.7644521138912856,38035.021192339234,-0.0355478861087144
cicv5g,aoi_mean_s,10,flow_proxy,Q2-moderate,18,0.7859744990892532,41100.64683838355,-0.014025500910746835
