Model,Mean,Low,High
Persistence,0.10847042834681071,0.06821156953275462,0.14679048419315394
Impaired GRU,0.11969117808358704,0.06588617356523309,0.1782029616070641
CA-DTNet,0.19801036292132165,0.08241609461458517,0.36788034711242
Graph GRU,0.23585428351260587,0.16640312226490428,0.3004183001015155
