model,horizon_s,target,predictor,samples,coefficient,robust_SE,t_value,p_value,CI_lower,CI_upper,R2,adjusted_R2
impaired_gru,10,flow_proxy,delta_latency_p95_ms_see_minus_cic,74,-494.4131901217475,85.83470091371359,-5.760061896397386,8.408309684693323e-09,-662.6461125363934,-326.1802677071016,0.7228690681785435,0.7068035069135314
impaired_gru,10,flow_proxy,delta_aoi_mean_s_see_minus_cic,74,313.4250608463655,47.83994744731893,6.5515343885255595,5.69488697204176e-11,219.6604868273315,407.1896348653995,0.7228690681785435,0.7068035069135314
impaired_gru,10,flow_proxy,delta_aoi_p95_s_see_minus_cic,74,79.9813380812445,60.867352349453455,1.3140268960945314,0.18883715323998418,-39.31648035799371,199.27915652048273,0.7228690681785435,0.7068035069135314
impaired_gru,10,speed_mean_kmh,const,74,0.0053351268276119945,0.0023423661836255863,2.2776655780413124,0.022746510089324788,0.0007441734691013106,0.009926080186122678,0.317090959944887,0.27750203008661956
impaired_gru,10,speed_mean_kmh,delta_latency_mean_ms_see_minus_cic,74,0.04120516052394512,0.01575577835646788,2.615241189086038,0.008916446730463731,0.010324402396872389,0.07208591865101785,0.317090959944887,0.27750203008661956
impaired_gru,10,speed_mean_kmh,delta_latency_p95_ms_see_minus_cic,74,-0.0749037535153777,0.01733336302991778,-4.321362991480194,1.5506832677442233e-05,-0.10887652078497462,-0.04093098624578079,0.317090959944887,0.27750203008661956
impaired_gru,10,speed_mean_kmh,delta_aoi_mean_s_see_minus_cic,74,0.045504696462717556,0.03035337264843938,1.499164425309989,0.13383098145976796,-0.013986820737546785,0.1049962136629819,0.317090959944887,0.27750203008661956
impaired_gru,10,speed_mean_kmh,delta_aoi_p95_s_see_minus_cic,74,-0.01684203842422242,0.03205334921765008,-0.5254377104202391,0.5992789442727163,-0.0796654484747017,0.045981371626256845,0.317090959944887,0.27750203008661956
impaired_gru,10,vehicle_count,const,74,0.002699139213116383,0.0017652355728261242,1.5290532632962346,0.1262512402483971,-0.000760658933851752,0.006158937360084518,0.09383987300450347,0.04130885114969207
impaired_gru,10,vehicle_count,delta_latency_mean_ms_see_minus_cic,74,0.012541971860124497,0.011360608205536617,1.1039877120321904,0.2695984680987895,-0.009724411065197483,0.03480835478544648,0.09383987300450347,0.04130885114969207
impaired_gru,10,vehicle_count,delta_latency_p95_ms_see_minus_cic,74,-0.0175196272383148,0.010958361493768234,-1.5987451452735708,0.10987724204061612,-0.03899762109567109,0.003958366619041486,0.09383987300450347,0.04130885114969207
impaired_gru,10,vehicle_count,delta_aoi_mean_s_see_minus_cic,74,-0.00222417002372069,0.023381536591030632,-0.09512505797304621,0.92421549493719,-0.04805113964534616,0.04360279959790478,0.09383987300450347,0.04130885114969207
impaired_gru,10,vehicle_count,delta_aoi_p95_s_see_minus_cic,74,0.0030623050673586286,0.0240463392035569,0.12735015677170755,0.8986632640725782,-0.044067653731646464,0.05019226386636372,0.09383987300450347,0.04130885114969207
impaired_gru,30,flow_proxy,const,74,43.058162183493586,9.702379393254022,4.437897183595144,9.08419906567869e-06,24.04184800837212,62.07447635861505,0.25624973422761244,0.213133776791532
impaired_gru,30,flow_proxy,delta_latency_mean_ms_see_minus_cic,74,61.75322934065736,119.20190468498696,0.518055726574602,0.6044193889664158,-171.8782107304934,295.38466941180815,0.25624973422761244,0.213133776791532
impaired_gru,30,flow_proxy,delta_latency_p95_ms_see_minus_cic,74,73.87774991531653,135.72482706689854,0.544320088755039,0.5862212253542796,-192.1380229437317,339.8935227743648,0.25624973422761244,0.213133776791532
impaired_gru,30,flow_proxy,delta_aoi_mean_s_see_minus_cic,74,-283.21991165533495,66.57930210249928,-4.253873241556603,2.1010426693521343e-05,-413.71294589204547,-152.72687741862447,0.25624973422761244,0.213133776791532
impaired_gru,30,flow_proxy,delta_aoi_p95_s_see_minus_cic,74,123.96759497738977,77.0971485266254,1.6079400775059496,0.10784830322831877,-27.140039445531315,275.07522940031083,0.25624973422761244,0.213133776791532
impaired_gru,30,speed_mean_kmh,const,74,-0.0006939610451612006,0.0021245622778482717,-0.32663718658510454,0.7439423140939276,-0.004858026592656193,0.003470104502333791,0.05990832438802818,0.005410256236609512
impaired_gru,30,speed_mean_kmh,delta_latency_mean_ms_see_minus_cic,74,0.026469012368841197,0.01931932307220399,1.3700797005110363,0.17066202373919337,-0.011396165058372331,0.06433418979605472,0.05990832438802818,0.005410256236609512
impaired_gru,30,speed_mean_kmh,delta_latency_p95_ms_see_minus_cic,74,-0.015089239553582132,0.019880063598025757,-0.759013645966435,0.4478443938268434,-0.05405344821607838,0.023874969108914113,0.05990832438802818,0.005410256236609512
