model,mean_paired_domain_delta_MAE,significant_domain_effect_fraction,mean_delta_in_very_hard_traffic,mean_delta_when_SEE_is_worse
persistence,6.273361958782579,0.2222222222222222,0.803774124152371,3.464321693035287
impaired_gru,7.655760640113507,0.1111111111111111,12.579814636500423,4.14063254560101
graph_gru,14.325339558429429,0.5555555555555556,14.85997738746909,0.8975843686414259
ca_dtnet,-9.029436838222823,0.1111111111111111,-5.292698917930964,0.43464293306991675
