model,horizon_s,target,paired_samples,mean_MAE_cicv5g,mean_MAE_see_v2x,delta_MAE_see_minus_cic,delta_MAE_CI_lower,delta_MAE_CI_upper,delta_RMSE_see_minus_cic,delta_RMSE_CI_lower,delta_RMSE_CI_upper,wilcoxon_statistic,wilcoxon_p_value
ca_dtnet,5,flow_proxy,74,13124.661526480495,13118.74961639,-5.911910090493509,-36.59729989960276,26.119084601709922,-57.193323446149336,-118.17637377675658,3.163460495958544,1254.0,0.47202016618869014
ca_dtnet,5,speed_mean_kmh,74,3.754720158954445,3.756759847394879,0.0020396884404327974,-0.0036841791034693786,0.007947726293336262,0.0046343551272924645,-0.0015248133704898106,0.010736029397741164,1288.0,0.5919378346262886
ca_dtnet,5,vehicle_count,74,0.9680199804263389,0.9672581954294064,-0.0007617849969323995,-0.002609959866267076,0.0010346825123146094,-0.002200052638537534,-0.005661907747063304,0.0013526435661946783,1305.0,0.6567194655014168
ca_dtnet,10,flow_proxy,74,15852.898664139138,15820.978454635135,-31.920209504004536,-76.96093513234155,14.404712887689596,-80.67073795931881,-145.83555337843552,-16.32871765723774,1097.0,0.11758477669934274
ca_dtnet,10,speed_mean_kmh,74,4.185459139000818,4.178452730563575,-0.00700640843724242,-0.014032666252954382,0.000351081679751184,-0.007142978044187698,-0.015272169037844844,0.00047303216460788263,1138.0,0.17891108489094365
ca_dtnet,10,vehicle_count,74,1.271455525279008,1.2710449884934438,-0.00041053678556420264,-0.002884105894556494,0.0017777995478475857,-0.0029579424127884253,-0.008537984133224775,0.0030585983082514778,1383.0,0.980659128801223
ca_dtnet,30,flow_proxy,74,14799.61376890728,14756.195494255095,-43.41827465218614,-89.73900211112263,5.632570047180196,-170.99330665776452,-293.67378334839606,-53.165406610092425,1060.0,0.07767815810504393
ca_dtnet,30,speed_mean_kmh,74,4.226126731174365,4.230463833642575,0.004337102468211141,-0.0020318092361274295,0.010724811467985125,0.0004713160303508519,-0.006420396073351975,0.007282787774411758,1047.0,0.06660148807932399
ca_dtnet,30,vehicle_count,74,1.5859723228307734,1.573236964820642,-0.012735358010131391,-0.017975328101147516,-0.0077706044508351136,-0.02388604112104081,-0.033988496384652865,-0.0145365633850054,600.0,2.2109449437295687e-05
graph_gru,5,flow_proxy,74,13519.875045043495,13565.280349241688,45.4053041981918,16.733309622686953,76.9067084822232,75.76124697480282,22.211896529055007,138.97061292276254,593.0,1.8675988751798593e-05
graph_gru,5,speed_mean_kmh,74,3.9532967041467613,3.9628352883420424,0.009538584195280569,0.003913238543390129,0.01704182148583352,0.008939547005238205,0.003312687263081988,0.017147909813065177,683.0,0.00014746044993320604
graph_gru,5,vehicle_count,74,1.01924501505051,1.0220956398219285,0.002850624771418927,0.0001677540869460513,0.007056077133453114,0.009787022477095028,3.316695213017111e-05,0.026400209801512062,1029.0,0.053442987467420544
graph_gru,10,flow_proxy,74,17381.988358226055,17443.456697161368,61.46833893531744,26.783883258470315,95.61910149539706,110.65496543459759,55.4860825105768,171.18494141422812,633.0,4.8100571412778324e-05
graph_gru,10,speed_mean_kmh,74,4.4738622230690535,4.479633415219635,0.005771192150581705,0.0006118319107264678,0.011331997612358733,0.008449266098931029,0.002516601431161037,0.015891291695527606,900.0,0.008632440571366038
graph_gru,10,vehicle_count,74,1.351040104642032,1.354522799785345,0.003482695143312887,0.0003862883739242222,0.00779334560500495,0.010294703632326088,-0.00036735314303852986,0.0271099531473375,1023.0,0.04957098550785994
graph_gru,30,flow_proxy,74,15918.621862613134,15940.658287328964,22.036424715833974,0.525587354730667,44.62834230146889,23.81945966519212,-8.935117384028622,58.36414522488955,1251.0,0.46212167402416326
graph_gru,30,speed_mean_kmh,74,4.53655510946634,4.5384344351665336,0.00187932570019329,-0.004028034373190785,0.00820584195948572,0.0037531097150604454,-0.00170107856624253,0.009902453764687279,1237.0,0.41749259249647797
graph_gru,30,vehicle_count,74,1.5930392885252282,1.5875050430860695,-0.005534245439158672,-0.011360449775606409,-0.00015667306492335995,-0.015727331400604137,-0.030910753735535233,-0.0018459828949492392,1067.0,0.08423788806644858
impaired_gru,5,flow_proxy,74,14153.637567457674,14175.122035605433,21.484468147760598,0.07306941055779183,44.23245941185679,40.465450062647804,10.242097205672577,74.53944953406967,1134.0,0.17204435233171889
impaired_gru,5,speed_mean_kmh,74,3.9635385726028933,3.968361781865478,0.004823209262584441,0.00017326116868556293,0.011661120818028203,0.006918631331700159,0.000375554684742686,0.018129788189508143,1148.0,0.19696629930730136
impaired_gru,5,vehicle_count,74,1.038984620393353,1.0404075965061395,0.0014229761127864656,-0.0010580553504939238,0.004778238556495874,0.006609560936146334,-0.0007661728346997186,0.018721156961177435,1358.0,0.8737291773737166
impaired_gru,10,flow_proxy,74,17098.68001347315,17103.025927818337,4.345914345183283,-18.694704180782185,28.14971463707187,17.258641687449003,-16.574161606330474,50.982066108523824,1300.0,0.6373671513397141
impaired_gru,10,speed_mean_kmh,74,4.418649868506532,4.423984995334143,0.005335126827611992,0.0009022522903835637,0.011085276977478907,0.008567120255649412,0.0014301037014553817,0.02001565879293267,1084.0,0.10204357573699305
impaired_gru,10,vehicle_count,74,1.3431067424397747,1.3458058816528908,0.002699139213116381,-0.0002671463310684294,0.006250266085172542,0.006566605854869621,-0.0022052730038920262,0.018619032451747952,1172.0,0.2456625013168382
impaired_gru,30,flow_proxy,74,14972.704261451428,15015.762423634918,43.05816218349355,22.81776768060779,63.57940576921703,73.96446712799863,41.82248241409212,106.09877292641748,741.0,0.0004961099120132824
impaired_gru,30,speed_mean_kmh,74,4.608145465981665,4.607451504936504,-0.0006939610451612003,-0.004402021878741566,0.0037425680478585265,0.003670006488795089,0.00015000091534918153,0.00741730015088552,1069.0,0.08619231179632908
impaired_gru,30,vehicle_count,74,1.586328179676358,1.5860427738895462,-0.00028540578681178524,-0.003741306240798276,0.003191370145729211,-0.0029742560945238386,-0.009706149374134188,0.0032644895168124966,1349.0,0.8356907800177586
persistence,5,flow_proxy,74,16067.595046889985,16093.813596530283,26.218549640297194,3.760315753870895,59.44322373368727,49.20273987654454,3.6081102775295566,114.79012008511171,0.0,0.043114446783075355
persistence,5,speed_mean_kmh,74,4.524008092489278,4.529167714455556,0.005159621966278922,0.0004609708325823864,0.012613555942176627,0.004744830760312924,0.00025957727577754976,0.011114855889912604,0.0,0.043114446783075355
persistence,5,vehicle_count,74,1.057155553245345,1.0593708837017624,0.0022153304564174955,-0.00022153308305343102,0.0066515297306228354,0.007411351643081617,-0.0004003403328046747,0.022224424515716008,2.0,0.27332167829229814
persistence,10,flow_proxy,74,20737.47689274814,20761.6129699512,24.136077203057464,-4.696933586864386,74.10088902900256,45.290990455443094,-11.010183049949037,139.7545602022078,3.0,0.22491588401596185
persistence,10,speed_mean_kmh,74,5.290486312439088,5.294337921416886,0.0038516089777976075,0.0,0.010725887399717932,0.006460182521187089,-0.0003588880794390951,0.018580534025159315,1.0,0.07961580146011343
persistence,10,vehicle_count,74,1.4931325274821785,1.495347857974225,0.0022153304920465673,-0.00022153302960816926,0.0066459914405095745,0.0068189414082161295,-0.0005021313216935579,0.020440953944315138,1.0,0.14412703481601533
persistence,30,flow_proxy,74,29144.577115687247,29150.665236120672,6.088120433426091,-36.962117350354205,60.463387050108516,8.201536994896152,-55.14130551345335,82.6622458650985,7.0,0.892738400944348
persistence,30,speed_mean_kmh,74,7.262282661970144,7.263692725788804,0.0014100638186586053,-0.0038358331124652965,0.00900929705372589,0.0025273557534175833,-0.003521719694847366,0.012520502400584147,7.0,0.892738400944348
persistence,30,vehicle_count,74,2.36774488774352,2.370403284294784,0.0026583965512637434,0.00022153304742297895,0.007089057499728363,0.005356535720522382,2.7642115966217505e-05,0.015260063283323856,0.0,0.06788915486182899
