model,horizon_s,target,difficulty_quartile,paired_samples,delta_MAE_see_minus_cic,CI_lower,CI_upper
ca_dtnet,10,vehicle_count,Q4-very-hard,19,0.002177942694981651,-0.003752250152171899,0.007308817443563555
ca_dtnet,30,flow_proxy,Q1-easy,19,-123.65457802721644,-201.12876441651338,-42.344644218408995
ca_dtnet,30,flow_proxy,Q2-moderate,18,0.6962544697957532,-94.47159823231777,88.02951554439619
ca_dtnet,30,flow_proxy,Q3-hard,18,-12.254807237752377,-70.85084728186828,48.25342205142275
ca_dtnet,30,flow_proxy,Q4-very-hard,19,-34.497967995865395,-146.03965354370578,86.23060942329538
ca_dtnet,30,speed_mean_kmh,Q1-easy,19,-0.00929645428049406,-0.021546417047079287,0.00187062156857191
ca_dtnet,30,speed_mean_kmh,Q2-moderate,18,0.0045413778510832664,-0.008017323261728654,0.015833446664554572
ca_dtnet,30,speed_mean_kmh,Q3-hard,18,0.005456966348109981,-0.0037552130311486647,0.015583475090154116
ca_dtnet,30,speed_mean_kmh,Q4-very-hard,19,0.016716211494291214,0.003123782954522783,0.02952297863877637
ca_dtnet,30,vehicle_count,Q1-easy,19,-0.004744567553306889,-0.010474718671737498,0.001019947908236352
ca_dtnet,30,vehicle_count,Q2-moderate,18,-0.004145557787056053,-0.014173839894430714,0.006209356835616358
ca_dtnet,30,vehicle_count,Q3-hard,18,-0.015176865266181819,-0.024675077350420193,-0.006048889067727279
ca_dtnet,30,vehicle_count,Q4-very-hard,19,-0.02655084706729528,-0.03591509940075342,-0.017281313074070558
graph_gru,5,flow_proxy,Q1-easy,19,68.50547429731604,6.580286807967016,151.61043859717364
graph_gru,5,flow_proxy,Q2-moderate,18,28.95660420348698,-23.083671490336602,62.82243741284136
graph_gru,5,flow_proxy,Q3-hard,18,16.47996018193832,-13.945340971669868,44.73036648952744
graph_gru,5,flow_proxy,Q4-very-hard,19,65.29107053050173,-4.531104974967847,140.11931738969628
graph_gru,5,speed_mean_kmh,Q1-easy,19,0.015876976441232246,-0.0018017911075049126,0.0425477027710501
graph_gru,5,speed_mean_kmh,Q2-moderate,18,0.0021414414304497965,-0.003377576511217533,0.006622997136362251
graph_gru,5,speed_mean_kmh,Q3-hard,18,0.010888766452834122,0.005409938680526756,0.01702300025267831
graph_gru,5,speed_mean_kmh,Q4-very-hard,19,0.008928891377275735,0.0013171361014290477,0.019106643392332586
graph_gru,5,vehicle_count,Q1-easy,19,0.010812360644599152,0.0011881206962028193,0.024359815647780187
graph_gru,5,vehicle_count,Q2-moderate,18,0.001314891245838871,-0.0010313102981235626,0.0034332267752496108
graph_gru,5,vehicle_count,Q3-hard,18,3.972838453609246e-06,-0.0011675628711555867,0.0012741355841932973
