model,horizon_s,target,disparity_quartile,paired_samples,delta_MAE_see_minus_cic,CI_lower,CI_upper
impaired_gru,5,flow_proxy,Q1-SEE-better,19,57.180379709516224,11.238360735538187,114.89571697654519
impaired_gru,5,flow_proxy,Q2-small,18,26.64266249287852,-31.235284820426436,86.30254375716609
impaired_gru,5,flow_proxy,Q3-moderate,18,-23.693827639925683,-45.411634069268366,-4.9077904204484994
impaired_gru,5,flow_proxy,Q4-SEE-worse,19,23.702336900017098,2.3640845391281853,48.96249825611681
impaired_gru,5,speed_mean_kmh,Q1-SEE-better,19,0.01364136325500096,-0.00030335790275174996,0.03689465327407504
impaired_gru,5,speed_mean_kmh,Q2-small,18,0.0002022389619272196,-0.006135260022474409,0.008984703514568242
impaired_gru,5,speed_mean_kmh,Q3-moderate,18,0.003172316141379373,0.0004944696190274791,0.005648885327247518
impaired_gru,5,speed_mean_kmh,Q4-SEE-worse,19,0.0019468206171953575,-0.00232255466047267,0.006534110386819811
impaired_gru,5,vehicle_count,Q1-SEE-better,19,0.00541150914857736,-0.002265289620559822,0.016839181505434616
impaired_gru,5,vehicle_count,Q2-small,18,0.004017910359556503,0.0008644798516705984,0.006772466986770752
impaired_gru,5,vehicle_count,Q3-moderate,18,-0.005004053668104062,-0.0075935515958064324,-0.002356090452412545
impaired_gru,5,vehicle_count,Q4-SEE-worse,19,0.001064849372478141,-6.943303933698604e-05,0.002550724514131919
impaired_gru,10,flow_proxy,Q1-SEE-better,19,44.315520483517744,12.156118905842403,77.59837543660821
impaired_gru,10,flow_proxy,Q2-small,18,6.292406341730081,-72.70938411463864,84.2758950426231
impaired_gru,10,flow_proxy,Q3-moderate,18,-29.395605154675852,-55.96303336984401,-5.543317598329625
impaired_gru,10,flow_proxy,Q4-SEE-worse,19,-5.502086790013173,-34.474870196592335,18.3498111256436
impaired_gru,10,speed_mean_kmh,Q1-SEE-better,19,0.009597636169152464,-0.0016266223632630048,0.027023724487910166
impaired_gru,10,speed_mean_kmh,Q2-small,18,0.006434770896696727,-0.0032670595538016613,0.017563645562695098
impaired_gru,10,speed_mean_kmh,Q3-moderate,18,0.005765245158181825,0.00085093346338394,0.010733882246615077
impaired_gru,10,speed_mean_kmh,Q4-SEE-worse,19,-0.0003766311030749127,-0.005443466890492196,0.004516795240462445
impaired_gru,10,vehicle_count,Q1-SEE-better,19,0.006049978315568533,-0.0019537645452720317,0.017950889138480718
impaired_gru,10,vehicle_count,Q2-small,18,0.011512339030802664,0.009659474280204819,0.01372119740697805
impaired_gru,10,vehicle_count,Q3-moderate,18,-0.006620262327644665,-0.010396626339376863,-0.002747070791018848
impaired_gru,10,vehicle_count,Q4-SEE-worse,19,-0.00017214036221231175,-0.0026573977191244645,0.002122737280778406
impaired_gru,30,flow_proxy,Q1-SEE-better,19,83.95109516975849,64.63723548738551,101.12076657301562
impaired_gru,30,flow_proxy,Q2-small,18,86.20375274792383,23.973059205071024,145.97350499912625
impaired_gru,30,flow_proxy,Q3-moderate,18,-17.93140628664302,-42.596710229179806,5.403011830578653
impaired_gru,30,flow_proxy,Q4-SEE-worse,19,19.070050371055626,-5.247995599267286,51.98233084080997
impaired_gru,30,speed_mean_kmh,Q1-SEE-better,19,-0.004445998251346249,-0.011972518293169618,0.004611505268091555
impaired_gru,30,speed_mean_kmh,Q2-small,18,-0.001509308838364692,-0.005892475191540806,0.0033157648528741117
impaired_gru,30,speed_mean_kmh,Q3-moderate,18,0.003931004751927277,-0.004169251606152766,0.013576194059872492
impaired_gru,30,speed_mean_kmh,Q4-SEE-worse,19,-0.000551035632130349,-0.007697780525221711,0.009446528668800703
impaired_gru,30,vehicle_count,Q1-SEE-better,19,0.009004520488140745,0.00435168606867853,0.014370779443058188
impaired_gru,30,vehicle_count,Q2-small,18,0.011299540036343246,0.0092945971657821,0.013100399218888243
impaired_gru,30,vehicle_count,Q3-moderate,18,-0.015096022268955074,-0.021285639635119084,-0.009422183130434676
impaired_gru,30,vehicle_count,Q4-SEE-worse,19,-0.006519433542722809,-0.010828970935209199,-0.0029085022431217062
persistence,5,flow_proxy,Q1-SEE-better,19,23.72365726837023,0.0,69.96636184272154
persistence,5,flow_proxy,Q2-small,18,53.81494551235281,0.0,161.44483653705842
persistence,5,flow_proxy,Q3-moderate,18,0.0,0.0,0.0
persistence,5,flow_proxy,Q4-SEE-worse,19,27.40811400318987,0.0,69.46166831092954
persistence,5,speed_mean_kmh,Q1-SEE-better,19,0.013724186893528384,0.0,0.03924518586078766
persistence,5,speed_mean_kmh,Q2-small,18,0.0048315241355282685,0.0,0.014494572406584805
persistence,5,speed_mean_kmh,Q3-moderate,18,0.0,0.0,0.0
persistence,5,speed_mean_kmh,Q4-SEE-worse,19,0.0017939494783206368,0.0,0.004485578999038553
persistence,5,vehicle_count,Q1-SEE-better,19,0.007765316293888938,0.0,0.023295948881666816
persistence,5,vehicle_count,Q2-small,18,-0.0009107469727400668,-0.0027322409182202003,0.0
persistence,5,vehicle_count,Q3-moderate,18,0.0,0.0,0.0
persistence,5,vehicle_count,Q4-SEE-worse,19,0.0017256257737013716,0.0,0.00431406446894597
persistence,10,flow_proxy,Q1-SEE-better,19,84.88887538913714,0.0,253.4620162050221
persistence,10,flow_proxy,Q2-small,18,7.633806395575448,0.0,22.901419186726343
persistence,10,flow_proxy,Q3-moderate,18,0.0,0.0,0.0
persistence,10,flow_proxy,Q4-SEE-worse,19,1.8827666059099244,-38.28802109592021,43.93632091364998
persistence,10,speed_mean_kmh,Q1-SEE-better,19,0.013922399928923605,0.0,0.0398398249669733
persistence,10,speed_mean_kmh,Q2-small,18,0.00113703689913722,0.0,0.0034111106974116603
persistence,10,speed_mean_kmh,Q3-moderate,18,0.0,0.0,0.0
persistence,10,speed_mean_kmh,Q4-SEE-worse,19,1.4106064739207256e-06,-0.002688808307770074,0.0026930401271918363
persistence,10,vehicle_count,Q1-SEE-better,19,0.007765316293888938,0.0,0.023295948881666816
persistence,10,vehicle_count,Q2-small,18,0.0009107469727355211,0.0,0.0027322409182065632
persistence,10,vehicle_count,Q3-moderate,18,0.0,0.0,0.0
persistence,10,vehicle_count,Q4-SEE-worse,19,6.938509416143963e-11,-0.0025884385564743984,0.002588438764629681
persistence,30,flow_proxy,Q1-SEE-better,19,72.81144030439961,-3.613829887168609,222.04815080036747
persistence,30,flow_proxy,Q2-small,18,-53.8149455123526,-161.4448365370578,0.0
persistence,30,flow_proxy,Q3-moderate,18,0.0,0.0,0.0
persistence,30,flow_proxy,Q4-SEE-worse,19,1.882766605909733,-38.28802109592078,43.93632091364998
persistence,30,speed_mean_kmh,Q1-SEE-better,19,0.010067650289328527,-0.005782124459392547,0.03598507532737813
persistence,30,speed_mean_kmh,Q2-small,18,-0.004831524135528318,-0.014494572406584952,0.0
persistence,30,speed_mean_kmh,Q3-moderate,18,0.0,0.0,0.0
persistence,30,speed_mean_kmh,Q4-SEE-worse,19,1.4106064739207256e-06,-0.002688808307770074,0.0026930401271918363
persistence,30,vehicle_count,Q1-SEE-better,19,0.0077653162938889735,0.0,0.02329594888166692
persistence,30,vehicle_count,Q2-small,18,0.000910746972740073,0.0,0.002732240918220219
persistence,30,vehicle_count,Q3-moderate,18,0.0,0.0,0.0
persistence,30,vehicle_count,Q4-SEE-worse,19,0.001725625773700273,0.0,0.004314064468942675
